#Classification	GQ17b_bracken_O.kreport
k__Bacteria	10222466
k__Bacteria|p__Firmicutes	6269108
k__Bacteria|p__Firmicutes|c__Bacilli	5000362
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	4491493
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	508868
k__Bacteria|p__Firmicutes|c__Negativicutes	1202505
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	1172009
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	30496
k__Bacteria|p__Firmicutes|c__Clostridia	63593
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	63593
k__Bacteria|p__Firmicutes|c__Tissierellia	2184
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2184
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	463
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	463
k__Bacteria|p__Actinobacteria	579154
k__Bacteria|p__Actinobacteria|c__Actinomycetia	578833
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	539374
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	22349
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	13279
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	3822
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	8
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	320
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	313
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	6
k__Bacteria|p__Tenericutes	35
k__Bacteria|p__Tenericutes|c__Mollicutes	35
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales	35
k__Bacteria|p__Bacteroidetes	2503908
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2488561
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2488561
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	15347
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	15347
k__Bacteria|p__Proteobacteria	610936
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	265078
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	262657
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	2243
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	42
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	25
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	95
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	240175
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	236202
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3973
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	105623
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	105623
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	8
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	50
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	10
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	2
k__Bacteria|p__Fusobacteria	256873
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	256873
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	256873
k__Bacteria|p__Candidatus_Saccharibacteria	2089
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2089
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	2089
k__Bacteria|p__Spirochaetes	336
k__Bacteria|p__Spirochaetes|c__Spirochaetia	336
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	336
k__Bacteria|p__Synergistetes	22
k__Bacteria|p__Synergistetes|c__Synergistia	22
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	22
k__Eukaryota	12628
k__Eukaryota|k__Metazoa	7176
k__Eukaryota|k__Metazoa|p__Chordata	7176
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	7176
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	7176
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	1
k__Eukaryota|k__Fungi|p__Basidiomycota	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	2
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	2
k__Eukaryota|k__Viridiplantae	5444
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5444
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	5444
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	4563
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Zingiberales	14
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	330
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Asterales	111
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Apiales	16
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Brassicales	407
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Fagales	2
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Apicomplexa|c__Conoidasida	1
k__Eukaryota|p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida	1
k__Viruses	469
k__Viruses|k__Heunggongvirae	469
k__Viruses|k__Heunggongvirae|p__Uroviricota	439
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	439
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	439
k__Viruses|k__Heunggongvirae|p__Peploviricota	30
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes	30
k__Viruses|k__Heunggongvirae|p__Peploviricota|c__Herviviricetes|o__Herpesvirales	30
