#Classification	S-18-POLJUN-B_bracken_P.kreport
k__Bacteria	40071
k__Bacteria|p__Proteobacteria	31420
k__Bacteria|p__Cyanobacteria	5431
k__Bacteria|p__Actinobacteria	1691
k__Bacteria|p__Firmicutes	472
k__Bacteria|p__Acidobacteria	671
k__Bacteria|p__Bacteroidetes	368
k__Bacteria|p__Planctomycetes	9
k__Bacteria|p__Verrucomicrobia	6
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	195
k__Eukaryota|k__Metazoa	106
k__Eukaryota|k__Metazoa|p__Chordata	106
k__Eukaryota|k__Fungi	16
k__Eukaryota|k__Fungi|p__Basidiomycota	9
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Viridiplantae	71
k__Eukaryota|k__Viridiplantae|p__Streptophyta	71
k__Eukaryota|p__Euglenozoa	1
