#Classification	GQ23_bracken_O.kreport
k__Bacteria	570955
k__Bacteria|p__Firmicutes	308108
k__Bacteria|p__Firmicutes|c__Bacilli	167120
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	124410
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	42710
k__Bacteria|p__Firmicutes|c__Negativicutes	94613
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	94269
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	343
k__Bacteria|p__Firmicutes|c__Clostridia	44385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	44385
k__Bacteria|p__Firmicutes|c__Tissierellia	1989
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1989
k__Bacteria|p__Actinobacteria	37085
k__Bacteria|p__Actinobacteria|c__Actinomycetia	36841
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	23445
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	12555
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	650
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	189
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	243
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	232
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	11
k__Bacteria|p__Bacteroidetes	177967
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	177760
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	177760
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	206
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	206
k__Bacteria|p__Proteobacteria	42024
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	33973
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	33623
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	33
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	270
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	44
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	5372
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	3278
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2094
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2679
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2679
k__Bacteria|p__Fusobacteria	5556
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	5556
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	5556
k__Bacteria|p__Candidatus_Saccharibacteria	204
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	204
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Nanosynbacterales	204
k__Bacteria|p__Spirochaetes	8
k__Bacteria|p__Spirochaetes|c__Spirochaetia	8
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	8
k__Eukaryota	3113
k__Eukaryota|k__Metazoa	2861
k__Eukaryota|k__Metazoa|p__Chordata	2861
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2861
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	2861
k__Eukaryota|k__Viridiplantae	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	252
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	252
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	1
