#Classification	NS32_bracken_C.kreport
k__Bacteria	1416323
k__Bacteria|p__Firmicutes	1096776
k__Bacteria|p__Firmicutes|c__Clostridia	1087117
k__Bacteria|p__Firmicutes|c__Bacilli	8107
k__Bacteria|p__Firmicutes|c__Negativicutes	861
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	682
k__Bacteria|p__Firmicutes|c__Tissierellia	6
k__Bacteria|p__Actinobacteria	10513
k__Bacteria|p__Actinobacteria|c__Actinomycetia	8875
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1638
k__Bacteria|p__Bacteroidetes	286247
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	286247
k__Bacteria|p__Proteobacteria	17972
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	8431
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	8202
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1295
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	11
k__Bacteria|p__Verrucomicrobia	4808
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	4808
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia	4
k__Viruses	2150
k__Viruses|k__Heunggongvirae	2150
k__Viruses|k__Heunggongvirae|p__Uroviricota	2150
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	2150
