feature	Absiella	Acidaminococcus	Actinomyces	Adlercreutzia	Aeriscardovia	Agathobaculum	Akkermansia	Alistipes	Anaerococcus	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotruncus	Asaccharobacter	Atopobium	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Butyricimonas	Campylobacter	Catabacter	Catenibacterium	Christensenella	Clostridiales.Family.XIII.Incertae.Sedis.unclassified	Clostridiales.unclassified	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Denitrobacterium	Dialister	Dielma	Dorea	Eggerthella	Eisenbergiella	Enorma	Enterorhabdus	Erysipelatoclostridium	Escherichia	Eubacterium	Faecalibacterium	Faecalitalea	Firmicutes.unclassified	Flavonifractor	Fusicatenibacter	Gemella	Gemmiger	Gordonibacter	Haemophilus	Holdemanella	Holdemania	Hungatella	Intestinibacter	Intestinimonas	Lachnoclostridium	Lachnospira	Lachnospiraceae.unclassified	Lactobacillus	Lactococcus	Lawsonibacter	Leuconostoc	Massiliomicrobiota	Megamonas	Megasphaera	Mesorhizobium	Mogibacterium	Monoglobus	Odoribacter	Olsenella	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilus	Phascolarctobacterium	Porphyromonas	Prevotella	Proteobacteria.unclassified	Ralstonia	Romboutsia	Roseburia	Rothia	Ruminococcaceae.unclassified	Ruminococcus	Ruthenibacterium	Sellimonas	Sharpea	Slackia	Staphylococcus	Stoquefichus	Streptococcus	Sutterella	Tissierellia.unclassified	Turicibacter	Turicimonas	Tyzzerella	Veillonella
NS11	0	1865	0	371	1206	68333	31312	51254	0	0	0	62273	847	775	0	6809517	0	1306284	154	188257	14603	0	0	57991	570	0	0	19291	388777	0	0	99806	0	0	0	226818	3066	0	4993	45	5785	22944	194828	1324867	7633	22312	7462	39020	369	102937	3329	0	6526	1932	171	0	0	1528	20752	13993	115954	701	632	0	0	0	241916	0	0	0	134700	114	294448	1567113	0	6533	0	0	428343	0	10528920	0	0	0	96343	0	103893	528	85863	0	1407	2061	0	0	12136	3933	0	0	0	0	0
NS13	0	0	0	771	0	117044	0	114225	2859	0	0	4441177	4492	287	0	3271304	0	1536	0	1594252	0	0	0	1505525	0	0	0	0	1952	0	0	484466	0	0	0	2612087	190115	30639	0	1819	149758	0	4256333	3072268	0	12453	66243	1691252	0	79334	34070	0	0	0	5323	37067	0	38968	0	1168641	0	0	2077	0	0	0	0	0	0	56839	0	0	0	0	0	0	0	15654	0	0	8119	0	0	0	780444	0	68963	23354	8740	0	15181	0	0	0	126323	0	11659	12529	0	0	0
NS21	0	0	0	0	0	143423	106	1393	0	0	4829	1691678	4298	0	0	10038515	0	116457	21035	885757	222136	0	0	0	0	0	0	1294	4140	19639	0	285837	0	123539	30929	294567	49559	20051	0	90	22872	41341	106849	5668724	0	21489	960046	534442	1474	228401	8410	2495	0	42064	21491	109201	0	75090	265928	200297	6489	0	0	0	0	0	106	0	0	0	0	0	0	310283	0	0	0	0	0	0	5338	0	0	0	7003790	0	0	591033	126484	0	0	0	0	6856	173793	0	0	0	0	2166	376725
NS25	0	0	0	0	796	787956	0	800991	0	0	0	551464	3366	0	0	17355365	0	341999	64830	1215581	0	0	0	0	0	0	704	3326614	2207	0	0	461657	0	0	0	484492	22459	12440	0	0	32229	0	656613	10965796	0	0	2669515	373062	0	63077	5385	0	0	340011	16034	9013	0	192549	0	37147	0	0	7191	0	0	0	0	0	0	1309643	48005	0	0	673902	0	26887	450	0	42471	0	6972	918	0	1141	54449	0	2063	0	73865	0	0	0	0	9835	5276	0	0	3785	4262	0	0
NS27	0	0	0	857	7968	23127	208722	9045	0	0	0	1307629	0	1760	0	3963263	0	6738493	0	264655	0	0	0	402250	0	0	0	25002	333896	0	0	98865	0	321148	0	336278	0	2161	4937	83	6628	0	527707	3548239	0	1201	4537	497997	330	23426	2925	11183	32561	5616	0	49879	0	0	31374	816481	16504	0	0	0	0	0	2363	0	0	0	0	2673	0	323951	66623	189	0	0	0	0	474	0	0	2320	1280763	0	0	517442	2064	0	2869	15261	0	0	607824	0	0	0	0	0	10218
NS28	0	0	0	0	1092	12164	1413373	300478	0	0	7331	251725	0	0	0	679171	536360	730832	6395	80163	10759	32295	0	0	0	0	0	2520	48719	0	20449	62948	0	935812	0	105356	0	0	1803	0	0	8036	600362	3203847	0	75491	2077	46853	0	42927	0	4562	11319	0	0	6876	489	0	0	40130	175	0	0	0	0	0	167	0	0	0	38791	2104	174897	388407	20171	398	229	0	69685	824	7009252	0	0	0	430194	0	107898	352757	2712	0	0	14399	0	0	46826	5010	0	0	0	0	929
NS29	0	0	1729	891	15378	128	0	26786	0	0	25874	887872	13001	1198	0	1235729	0	7950708	841	4316396	0	0	0	0	0	1444	12175	109591	228198	3851	250563	811	0	18139	2900	1845	257317	345587	9895	2615	1038383	0	47874	1225263	0	25702	86157	3400	315	110405	72241	0	0	0	35758	331373	2190	1190282	0	6933	1293	30762	3587	906	3967	0	0	0	2781	126847	0	184	0	568	0	0	8951	0	0	0	9239	0	0	14213	1667321	0	69198	6193316	663504	781621	0	559	0	37960	173368	0	0	1052	0	1349	0
NS30	14714	0	3338	0	17461	31644	126	9911	0	0	934	584543	0	0	0	539381	314	3298953	0	5781862	0	0	0	0	0	46	0	11950	302159	0	0	164913	0	4492	0	1409767	53326	0	9892	505	81262	263250	890635	678763	0	54402	1439	1627729	3841	1573	16767	0	0	42438	0	83800	0	55542	138642	4179812	44468	0	0	0	0	0	0	0	0	15991	0	49	0	1322	0	43906	257	0	0	0	32538	464096	0	3504	7315632	0	9355	86690	1662	56790	0	131	0	0	86088	0	0	0	18461	0	868
NS32	0	0	0	646	335	13908	84935	84906	0	0	17063	57268	0	554	0	1109204	33008	508669	5582	344576	0	25199	0	0	0	0	0	32884	131367	0	0	2137742	0	543410	1422	305293	0	0	1848	0	550	9104	5643182	3942910	0	54489	3077	203724	0	33645	6254	0	0	3594	1426	10111	161	1776	0	804431	317031	0	0	0	0	0	0	0	0	0	48885	135	114470	116023	0	7343	0	0	3888	315	3274810	194	0	265	679717	0	82978	835066	41225	0	0	0	0	0	24033	0	0	0	655	0	0
NS34	0	0	24085	0	0	0	260447	291700	59041	2252	3105	10966	31219	207	16431	13385488	0	721053	0	1950449	0	30906	0	0	0	0	0	38092	207557	214266	0	26737	0	15782	2455	57122	59511	173816	1327	583	52172	372618	617644	136655	0	422259	46325	4875	15016	1352	48336	0	0	40462	36599	147051	10455	305509	0	41501	0	0	2650	0	0	0	0	0	0	27187	217648	0	0	1161038	0	0	21979	217503	230519	64094	47874	9053	0	0	15445	0	124717	133055	90382	0	0	0	0	0	6302	0	5445	65118	691	13447	0
NS36	0	0	0	15630	329	2971	4519115	1462323	0	0	51347	125226	23403	9431	0	3515026	393740	694080	7070	163245	33259	0	8392	0	0	0	3916	262556	499535	29604	0	0	0	0	4415	127232	16042	1085	6240	800	4438	0	1587888	228983	0	126330	266402	763380	1889	227530	3099	0	0	5364	9096	20459	168142	49006	0	187281	455	0	9727	0	743	0	0	0	0	1296521	79386	204	122965	682054	0	0	0	1562	263158	950	1383	0	0	2004	14458	0	45907	1561509	350679	44652	0	0	571	1728	20820	0	549	5964	0	735	0
NS38	0	0	0	11157	3358	5965	2015005	377623	0	0	34711	582559	940	18107	0	3096617	171319	4425462	0	11675	11262	0	1919	0	3285	0	0	1301	339172	110806	0	252216	0	175089	3373	73297	3034	629	3362	750	26986	25402	268972	726146	0	116191	7558	89289	0	16349	16908	552	0	0	0	6581	0	32504	13169	186296	63594	0	1335	0	0	0	0	0	0	37872	68917	92	61631	320792	0	229	0	0	0	0	158	0	0	350	84667	0	32850	250905	45266	0	0	0	0	0	6105	0	0	0	0	0	0
NS39	0	0	0	0	2132	31948	77265	826810	0	0	8198	43420	0	0	0	2400312	142237	2558103	3599	298448	270	0	328	0	2572	0	0	2298	274626	5037	8656	897547	0	85811	138	487610	0	0	3874	0	0	1169	1262559	7587430	0	95038	11220	165647	0	291013	506	15382	8077	777	0	10245	0	1013	0	311153	0	0	0	0	0	31779	0	0	0	0	119228	805	36402	142664	0	0	15254	0	51656	0	806565	0	0	198	72863	0	21103	619229	19782	0	0	49101	0	0	53555	0	0	663	0	0	21396
NS4	0	0	0	0	1231	87517	0	155737	0	0	0	1556809	0	0	0	5901041	0	1742996	201	278998	0	0	0	0	0	0	0	211	146050	0	0	2000	0	5029	0	88869	3650	0	780	0	9396	152716	3042594	3675704	0	11452	13778	160912	0	3782	694	56783	0	831	0	1745	0	0	117625	2253117	88732	0	0	0	0	0	0	0	0	0	26097	0	74980	64692	0	0	1236	0	0	0	7161	0	0	0	2733271	0	0	505377	0	4687	0	0	0	697	81127	55546	0	2000	0	0	14684
NS40	0	0	0	1407	7079	133449	0	707262	0	0	73071	146167	475	765	0	1044827	220471	3424565	0	500679	0	0	4613	0	0	0	0	47453	764139	0	0	629128	0	0	16342	1592022	0	0	15301	0	17507	3921	472560	3880899	0	753419	41794	412497	0	124157	12878	0	34315	9004	1429	9002	0	11390	0	1542541	709091	0	9918	754	0	48565	387390	0	0	1103573	16637	15680	23821	361546	16305	0	0	1664	61261	2571	721467	0	0	0	1440519	0	78049	34801	123900	0	0	109307	0	0	28442	1097	0	0	0	0	0
NS41	0	0	0	0	731	66414	38536	1898036	0	0	0	20190	0	0	0	3940566	529424	351696	0	85059	12700	4618	193	138259	0	0	0	52575	122408	0	0	2074055	0	0	0	266670	0	0	2510	0	0	0	130912	5599018	0	932676	15839	88112	0	36695	764	0	19019	2313	0	0	5584	11508	251595	4024713	177752	0	1409	0	0	29862	63501	0	0	58940	93149	1335	99732	1112898	33038	756	0	0	110340	1085	16810600	0	0	99	1515570	0	100274	72051	39600	0	1413	9532	0	0	17877	13193	0	0	0	0	0
NS46	0	0	187	75801	2294	4478	23622	27889	214	0	30983	73811	1838	125620	0	2633715	0	1607164	388	639847	28841	2860	0	0	24801	0	0	44941	1008	168356	0	1987727	635	46681	1738	733310	66359	2028	481	7004	59658	22697	3925422	1005547	0	145355	20393	229242	799	65680	40447	0	0	6483	218	18620	0	9144	2702	1445872	16314	0	446	0	0	0	0	0	514	49694	35087	0	14862	76764	0	4453	0	6712	0	3438	118669	0	0	2520	484720	0	24299	2606024	190226	0	0	249	5689	66	0	0	0	109352	0	0	0
NS51	0	0	864	0	6434	187722	0	1592	2215	0	0	2919816	0	0	3383	514261	11602	3632248	0	3440755	0	604	0	0	0	0	0	1363867	1390003	0	0	184225	0	0	0	497966	1589	0	14232	85	76421	169726	1441580	3936033	0	23119	18215	3109969	10023	1039227	486	920	0	10323	0	121615	0	22333	0	3715420	78645	0	0	0	0	0	0	13406	0	36437	0	607	1152	22369	656	0	0	50081	444	17631	11979	0	41843	18776	1455585	1289	23826	2395668	3318	13109	0	115223	0	0	343137	0	3142	8783	0	0	8992
NS55	2975	0	481	13636	1273	126476	3185	1125	0	0	0	955162	0	11514	0	1163742	0	925595	0	2091870	0	0	0	0	1329	0	0	34322	376611	0	0	156887	0	13780	2696	867424	72379	0	4366	2526	163195	11247	2111594	3350075	0	9472	14218	1502236	0	89531	29887	0	0	38694	1230	10734	0	528	0	1259472	0	3636	0	0	0	0	0	0	0	36056	12145	0	0	0	0	0	0	0	0	0	511	0	0	16311	2608502	0	2084	3160390	19408	0	5538	0	0	2054	145747	0	0	4220	0	0	0
NS58	0	0	45190	0	3097	43657	0	392	0	0	0	3060074	0	0	370	28070	0	2502564	0	3717306	0	0	0	0	0	1169	0	14619	769394	0	0	400460	0	0	0	1821528	2607	0	7118	0	81362	0	659702	409854	0	0	4916	6739175	44161	431954	1011	4431	0	0	0	26081	0	0	0	9351248	0	0	0	54	0	0	0	0	0	0	0	313	0	1126	0	0	0	0	8398	0	199286	0	37637	38007	4102326	2586	0	0	6592	0	608	81114	0	0	639243	0	0	657293	0	0	3819
NS6	0	0	0	47	0	125037	271	1575720	6889	0	0	2319401	1734	50	0	12105734	0	492	0	1457453	0	0	0	0	0	0	0	0	300012	9717	0	339995	0	2342	15007	1394313	97469	779	3617	965	20137	0	3000141	3247027	0	58253	34841	1549616	4978	1564	18708	1416	0	8995	407652	21577	0	18516	0	206935	2125	0	0	0	0	0	0	0	0	0	172283	0	57042	1198148	0	12028	0	45408	0	24695	102788	864	0	2686	977981	0	0	446210	39967	0	281	0	0	0	52688	0	5867	0	422	0	0
NS62	0	0	207	31676	266	7653	193238	129766	0	3771	2997	1511562	1291	66296	0	183980	0	821174	0	2414211	0	0	0	0	4697	0	0	22314	275	0	6604	1398853	0	0	0	471826	9196	1565	0	3331	63663	0	770850	560962	0	73578	2149	1069491	266	0	27386	0	0	14196	2401	53765	0	5653	62197	3779127	11453	3859	0	0	0	0	0	0	0	33743	1778	0	0	33315	0	0	0	0	57	0	0	0	0	1118	171004	0	868924	3677475	13862	0	0	0	0	0	63070	0	0	0	0	0	0
