#Classification	S-21-POLPIL-G_bracken_P.kreport
k__Bacteria	21583
k__Bacteria|p__Proteobacteria	21189
k__Bacteria|p__Actinobacteria	231
k__Bacteria|p__Cyanobacteria	22
k__Bacteria|p__Acidobacteria	94
k__Bacteria|p__Bacteroidetes	41
k__Bacteria|p__Planctomycetes	4
k__Eukaryota	9173
k__Eukaryota|k__Viridiplantae	7486
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7486
k__Eukaryota|k__Metazoa	1684
k__Eukaryota|k__Metazoa|p__Chordata	1684
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
