#Classification	GQ50_bracken_P.kreport
k__Bacteria	14175893
k__Bacteria|p__Bacteroidetes	13427545
k__Bacteria|p__Firmicutes	426605
k__Bacteria|p__Actinobacteria	5268
k__Bacteria|p__Proteobacteria	274116
k__Bacteria|p__Fusobacteria	42358
k__Eukaryota	3589
k__Eukaryota|k__Fungi	3534
k__Eukaryota|k__Fungi|p__Ascomycota	3534
k__Eukaryota|k__Metazoa	10
k__Eukaryota|k__Metazoa|p__Chordata	10
k__Eukaryota|k__Viridiplantae	44
k__Eukaryota|k__Viridiplantae|p__Streptophyta	44
k__Viruses	275
k__Viruses|k__Heunggongvirae	275
k__Viruses|k__Heunggongvirae|p__Uroviricota	275
