#Classification	S-6-POLPIL-G_bracken_P.kreport
k__Bacteria	45961
k__Bacteria|p__Proteobacteria	38535
k__Bacteria|p__Actinobacteria	1929
k__Bacteria|p__Firmicutes	2171
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Acidobacteria	2726
k__Bacteria|p__Bacteroidetes	572
k__Bacteria|p__Planctomycetes	24
k__Eukaryota	7892
k__Eukaryota|k__Metazoa	4941
k__Eukaryota|k__Metazoa|p__Chordata	4941
k__Eukaryota|k__Fungi	238
k__Eukaryota|k__Fungi|p__Ascomycota	238
k__Eukaryota|k__Viridiplantae	2711
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2711
