#Classification	SRR5091541_bracken_P.kreport
k__Bacteria	5242573
k__Bacteria|p__Bacteroidetes	3961200
k__Bacteria|p__Firmicutes	1248302
k__Bacteria|p__Actinobacteria	18475
k__Bacteria|p__Proteobacteria	14510
k__Bacteria|p__Verrucomicrobia	57
k__Bacteria|p__Fusobacteria	26
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	103
k__Eukaryota|k__Metazoa	93
k__Eukaryota|k__Metazoa|p__Chordata	93
k__Eukaryota|k__Viridiplantae	10
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10
k__Archaea	1
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	454
k__Viruses|k__Heunggongvirae	416
k__Viruses|k__Heunggongvirae|p__Uroviricota	415
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	38
k__Viruses|k__Bamfordvirae|p__Preplasmiviricota	38
