#Classification	SRR20002419_bracken_P.kreport
k__Bacteria	1576690
k__Bacteria|p__Proteobacteria	1156595
k__Bacteria|p__Actinobacteria	302212
k__Bacteria|p__Firmicutes	116005
k__Bacteria|p__Deinococcus-Thermus	136
k__Bacteria|p__Tenericutes	26
k__Bacteria|p__Bacteroidetes	1613
k__Bacteria|p__Chlamydiae	48
k__Bacteria|p__Verrucomicrobia	38
k__Bacteria|p__Fusobacteria	7
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	10417
k__Eukaryota|k__Fungi	7249
k__Eukaryota|k__Fungi|p__Basidiomycota	7109
k__Eukaryota|k__Fungi|p__Ascomycota	140
k__Eukaryota|k__Metazoa	2667
k__Eukaryota|k__Metazoa|p__Chordata	2667
k__Eukaryota|k__Viridiplantae	496
k__Eukaryota|k__Viridiplantae|p__Streptophyta	496
k__Eukaryota|p__Apicomplexa	4
k__Viruses	232
k__Viruses|k__Heunggongvirae	232
k__Viruses|k__Heunggongvirae|p__Uroviricota	232
