#Classification	S-9-POLJUN-B_bracken_O.kreport
k__Bacteria	989582
k__Bacteria|p__Proteobacteria	654168
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	458937
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	355427
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	81323
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	13738
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	7195
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	937
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	231
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	19
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	19
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	165511
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	163728
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	800
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	438
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	27065
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	9249
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	7504
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	8702
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1076
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	62
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	56
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2392
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2223
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	14
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	84
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	68
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	1
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	36
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	36
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	206
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	206
k__Bacteria|p__Proteobacteria|c__Oligoflexia	18
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	18
k__Bacteria|p__Actinobacteria	222879
k__Bacteria|p__Actinobacteria|c__Actinomycetia	211326
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	64706
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	24387
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	48141
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	18718
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	17803
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	15548
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	4883
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	2789
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	1429
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	785
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	1767
