#Classification	S-9-POLJUN-B_bracken_P.kreport
k__Bacteria	989854
k__Bacteria|p__Proteobacteria	654175
k__Bacteria|p__Actinobacteria	222879
k__Bacteria|p__Cyanobacteria	51042
k__Bacteria|p__Firmicutes	18700
k__Bacteria|p__Armatimonadetes	54
k__Bacteria|p__Deinococcus-Thermus	21
k__Bacteria|p__Chloroflexi	11
k__Bacteria|p__Tenericutes	12
k__Bacteria|p__Acidobacteria	25221
k__Bacteria|p__Bacteroidetes	12298
k__Bacteria|p__Rhodothermaeota	26
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	162
k__Bacteria|p__Planctomycetes	4571
k__Bacteria|p__Verrucomicrobia	354
k__Bacteria|p__Chlamydiae	22
k__Bacteria|p__Candidatus_Saccharibacteria	127
k__Bacteria|p__Spirochaetes	167
k__Bacteria|p__Thermotogae	3
k__Bacteria|p__Nitrospirae	1
k__Eukaryota	23596
k__Eukaryota|k__Viridiplantae	14443
k__Eukaryota|k__Viridiplantae|p__Streptophyta	14135
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	307
k__Eukaryota|k__Fungi	5492
k__Eukaryota|k__Fungi|p__Ascomycota	4314
k__Eukaryota|k__Fungi|p__Basidiomycota	1177
k__Eukaryota|k__Metazoa	3624
k__Eukaryota|k__Metazoa|p__Chordata	3624
k__Eukaryota|p__Apicomplexa	17
k__Eukaryota|p__Cercozoa	7
k__Eukaryota|p__Euglenozoa	12
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
