#Classification	SRR5091546_bracken_P.kreport
k__Bacteria	8098224
k__Bacteria|p__Bacteroidetes	6614434
k__Bacteria|p__Firmicutes	1393583
k__Bacteria|p__Actinobacteria	76222
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Proteobacteria	11715
k__Bacteria|p__Verrucomicrobia	1907
k__Bacteria|p__Spirochaetes	230
k__Bacteria|p__Fusobacteria	115
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Bacteria|p__Thermotogae	8
k__Eukaryota	1704
k__Eukaryota|k__Viridiplantae	1476
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1476
k__Eukaryota|k__Fungi	228
k__Eukaryota|k__Fungi|p__Ascomycota	199
k__Eukaryota|k__Fungi|p__Basidiomycota	28
k__Archaea	3
k__Archaea|p__Candidatus_Thermoplasmatota	2
k__Archaea|p__Euryarchaeota	1
k__Viruses	413
k__Viruses|k__Heunggongvirae	413
k__Viruses|k__Heunggongvirae|p__Uroviricota	413
