#Classification	S-20-POLJUN-G_bracken_P.kreport
k__Bacteria	343067
k__Bacteria|p__Cyanobacteria	132441
k__Bacteria|p__Actinobacteria	28752
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Firmicutes	12
k__Bacteria|p__Proteobacteria	177301
k__Bacteria|p__Bacteroidetes	2216
k__Bacteria|p__Acidobacteria	2157
k__Bacteria|p__Planctomycetes	163
k__Bacteria|p__Verrucomicrobia	6
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	43990
k__Eukaryota|k__Viridiplantae	41794
k__Eukaryota|k__Viridiplantae|p__Streptophyta	41794
k__Eukaryota|k__Metazoa	2033
k__Eukaryota|k__Metazoa|p__Chordata	2033
k__Eukaryota|k__Fungi	162
k__Eukaryota|k__Fungi|p__Ascomycota	145
k__Eukaryota|k__Fungi|p__Basidiomycota	17
