feature	Acidovorax	Acinetobacter	Alcaligenes	Anoxybacillus	Aquabacterium	Burkholderia	Corynebacterium	Cutibacterium	Effusibacillus	GGB2722	GGB796	Herbaspirillum	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Staphylococcus	Streptococcus
SRR20002340	0	0.0122338945018494	0	0	0.0571149415062884	0	0	0.064564030312856	0	0	0	0	0	0	0	0	0.00321521726030778	0	0.862871916418698	0	0	0
SRR20002343	0	0.0184148601952358	0	0.00700330050057752	0.0495383222662736	0	0	0.13014862300513	0.00233800609190684	0	0.0207205215728718	7.94263693632397e-05	0	0.0414085070426309	0.000202680783507641	0.000236747997355006	0.00863814398756738	0	0.494660921173635	0	0.226609939013946	0
SRR20002345	0	0.00723840681006293	0.0909157099836764	0.000872329522438537	0.0374648175851759	0	0	0.431709170427736	0.000760183887988879	0.0550354315416461	0.000959793861823621	3.42452969020964e-05	0	0.0112205795106378	0.00156571965565891	0.0148656982754871	0.00931641759640591	0	0.33804149604436	0	0	0
SRR20002351	0	0.0141220248637244	0.0049728406029635	0	0.0418345181863611	0	0.000185242979434679	0.386035359869191	0	0.0210923304619874	0	0.000743604569901223	0	0	0	0	0.0152399447047313	0	0.443450870881335	0.00479836756419363	0.0111514358963558	0.0563734594198209
SRR20002352	0	0.000243049890659941	0	0	0.00361108864648204	0	0	0.0127896501992718	0	0.000196081120141472	0	0	0	0	0	0	0.000561465762519634	0	0.0467963357448648	0	0.933276056627277	0.00252627200878305
SRR20002353	0	0.0176594916531242	0	0	0.0871944951958968	0	0	0.0603518434931652	0	0	0	0.0013044825351235	0	0	0	0	0.0178769773288444	0	0.815612709793846	0	0	0
SRR20002355	0	0.0186670653671812	0	0	0.0709478293422716	0	0	0.190695906249746	0	0	0	0	0	0	0	0	0.013158275991159	0	0.706530923049642	0	0	0
SRR20002356	0	0	0	0	0.00141967195163927	0	6.96818487589931e-05	0.0226565553964955	0	0	0.00202383655241779	0	0	0.0039994318249255	0	0	0	0	0.965733376571814	0	0	0.00409744585394914
SRR20002360	0	0.00926551262455716	0	0	0.0691560326544153	0	0	0.211687342267088	0	0	0	0	0	0	0	0	0.0172407256010142	0	0.692650386852925	0	0	0
SRR20002363	0	5.7705894725254e-05	0	0	0.00386431362831819	0	0	0.00203010823632149	0	0	0	6.00587101754253e-06	0	0	0	0	0.000879209984011381	0	0.0380466975665635	0	0.94736937586555	0.00774658295349295
SRR20002365	0	0.00601076915554964	0	0	0.0485107000679943	0	0	0.366911099955875	0	0.00195813871141232	0	6.01289492648325e-05	0	0	0	0	0.00617840137774251	0	0.542172410347888	0.0281983514342728	0	0
SRR20002368	0	0.000613796711657272	0.000105678095530883	0	0.0030723328223649	0	0	0.0076898221858073	0	0.000154506840254911	0	0	0	0	0	0	0.000585592382574801	0	0.0345805346412621	0	0.953197736320548	0
SRR20002369	0	0	0	0	0	0	0	0	0	0	0	0	0.290252986328746	0	0	0	0	0.0157378389426352	0	0	0.694009174728619	0
SRR20002371	0	0	0	0	0.00536873903369933	0	0	0.280013747444965	0	0	0.0196805527919975	0	0	0.0214641028887723	0	0	0	0	0.195134128032126	0	0.387370439375577	0.0909682904328636
SRR20002373	0	0.023487984323666	0.0150197077765943	0.00491683183446367	0.0783749286520061	0	0	0.0636855564694091	0.00174875618536546	0.00108448950791232	0.00478110210740626	0	0	0.0270106651206062	0	0	0.0184556473903488	0	0.761434330632222	0	0	0
SRR20002375	0	0.0101067209791823	0	0.000564403828993425	0.0706166501075773	0	0	0.143994986537022	0.000417464211445137	0	0.00285218555651677	0.000410652441095216	0	0.0134298917998935	0	0	0.0130727604115477	0	0.744534284126726	0	0	0
SRR20002377	0	0	0	0	0.00620976197414552	0	0	0.0503029775012543	0	0	0	0	0	0	0	0	0	0	0.0843920772209588	0	0.859095183303641	0
SRR20002378	0	0	0	0	0.0782906015973923	0	0	0.0441156912481955	0	0	0	0	0	0	0	0	0.00864226488275875	0	0.868951442271653	0	0	0
SRR20002379	0	0.00704017301522108	0.0014021209968551	0	0.0913960260069468	0	0	0.0252252574592812	0	0	0	0.00348405823460965	0	0	0	0	0.0214221626554775	0	0.850030201631609	0	0	0
SRR20002380	0	0	0	0	0.000240143238505253	0	0	4.51680072423673e-06	0	0	0	0	0	0	0	0	0	0	0.00658538791306277	0	0.993169952047708	0
SRR20002382	0	0.0045286119595045	0	0.0130186612093869	0.0434747781688139	0.0148925339658817	0	0.144326444551247	0.00299220167129192	0	0.0255107155961406	0	0	0.0676059285902544	0	0	0.0101938988026025	0	0.673363720459114	0	9.25050257618745e-05	0
SRR20002384	0	0.000604071062236403	0	0.000410890976343543	0.00703464625703727	0	0.888903052508187	0.0153181732961166	7.14021632665219e-05	0	0.00340583938280496	0	0	0.00484527195025153	0	0	0.00140307441069123	0	0.0780035779930648	0	0	0
SRR20002386	0	0	0	0	0.057770804987088	0	0	0.154633974768371	0	0	0	0	0	0	0	0	0.000930219642906728	0	0.786665000601635	0	0	0
SRR20002388	0.000377434646035627	0.0075810444618013	0	0.000358177776339932	0.0829870948162047	0	0	0.0694371910235257	8.01085779340922e-05	0	0	0.00115464190695389	0	0.00894828221019566	0.00657891696283732	0	0.0203198489028976	0	0.802177258715274	0	0	0
SRR20002391	0.000359007898056319	0.0161874159804668	0.00172011406046153	0	0.0521908465786735	0	0.000703923238779711	0.377543603840363	0	0.00806834138703412	0	0.00378890147693524	0	0	0.00138565069976006	0	0.0175176359547173	0	0.520534558884753	0	0	0
SRR20002394	0	0	0	0	0	0	0.99085821420451	0	0	0	0	0	9.16326814612257e-05	0	0	0	0	0	0.000290487006789944	0	0.00875966610723837	0
SRR20002396	0	0.0213384358556325	0	0.00235431940878428	0.080612693175051	0	0	0.073745765524782	0.0007017269825154	0	0.00487616295529761	0.00209073247879101	0	0.0233303720480704	0.00165805941444652	0.00230238302109672	0.0178832993273652	0	0.731061279079984	0	0.00178262864506556	0.0362621420831177
SRR20002397	0	0.0149619875177877	0.0140831064349502	0	0.0808216942866427	0	0	0.0718935230315865	0	0	0	0	0	0	0.0631232702499804	0	0.0170404887559246	0	0.726051716024068	0.0120242136990599	0	0
SRR20002401	0.000465392314228016	0.00840835551597205	0	0	0.0359571988616789	0	0.000390342437907997	0.144492474519044	0	0	0	0	0	0	7.24189765966238e-05	0.000124206160625567	0.00879675939618913	0	0.37578013100219	0	0.095050529890898	0.33046219092467
SRR20002402	0	0	0	0	0.0754523026315789	0.0119860197368421	0	0.0579204358552632	0	0	0	0	0	0	0	0	0.00358244243421053	0	0.851058799342105	0	0	0
SRR20002403	0	0	0	0	0.0772655597810964	0.056229875309738	0	0	0	0	0	0	0	0	0	0	0	0	0.866504564909166	0	0	0
SRR20002406	0	0	0	0.00104950090769137	0.026919532745863	0	0	0.40719421284673	0	0	0.00483587063880505	0	0	0.013729590738789	0.00191911890481104	0	0.00433595064807509	0	0.540016222569236	0	0	0
SRR20002410	0	0.000731887080572898	0	0	0.015370657345693	0	0.790148995339685	0.00751585798201811	0	0	0	0	0	0	0.00035642849391217	0.000266935625310846	0.00323048682577539	0	0.182378751307033	0	0	0
SRR20002412	0	0.00187096839699677	0	0	0.0196449729098147	0	0.100618345097016	0.0553593423063796	0	0.00387744629801313	0	9.37241526360308e-05	0.00284101337677969	0	0	0	0.00702970196500496	0.00983674033645409	0.222089533120944	0.00916192643747466	0.538958006112377	0.0286182794901094
SRR20002416	0	0.0398660718214056	0.000908546940858654	0	0.0653075860369754	0	0	0.0498204904833558	0	0	0	0	0	0	0	0	0.000541168395765687	0	0.843556136321639	0	0	0
SRR20002417	0	0	0	0	0.0151433226634369	0	0	0.0099705856908037	0	0	0	0	0	0	0	0	0	0	0.97488609164576	0	0	0
SRR20002419	0.00143375264586907	0.0105971351411109	0	0	0.0528682949441332	0.0162497657720261	0	0.37195402259601	0	0.00565305747004763	0	0.00179528539104654	0	0	0	0.000530134202491631	0.0208254812717928	0	0.517362321970733	0	0.000730748594738866	0
SRR20002420	0	0	0	0	0.062087365724295	0	0	0.0721180010434176	0	0	0	0	0	0	0	0	0.00103135960205436	0	0.864763273630233	0	0	0
SRR20002421	0	0.000471688190642936	0	0	0.00731723498486229	0	0	0.040603210715979	0	0	0	0	0	0	0	0	0.000589003435313992	0	0.221864163509943	0	0.729154699163259	0
SRR20002422	1.44486120663249e-05	0.00157923329884931	0	0	0.0104887291193475	7.99489867669978e-06	0.000198716577952189	0.31257848004454	0	0.00570017010832606	0	0.000418335481360327	0	0	0	0	0.00368911595685452	0	0.101259918972184	0	0.554099071243216	0.00996578568662694
SRR20002425	0.00222484194034934	0.0231687537954422	0	0	0.0808742427006532	0	0	0.0791814726304456	0	0	0	0.00341757350236649	0	0	0.00927354469142444	0.00328830411974025	0.0240763657173962	0	0.774077785635922	0	0.000417115266259714	0
SRR20002427	0	0.000494246615139349	0	0	0.00223598756344475	0	0.0322063606097474	0.00146141313063318	0	0	0	4.49045827970306e-05	0.000154381718692694	0	0	0	0.00051243356358089	0.939112051566575	0.0209417675830025	0.000271145482139854	0	0.00256530758424778
