feature	Acidovorax	Acinetobacter	Alcaligenes	Anoxybacillus	Aquabacterium	Burkholderia	Corynebacterium	Cutibacterium	Effusibacillus	GGB2722	GGB796	Herbaspirillum	Lactobacillus	Meiothermus	Micrococcus	Moraxella	Paraburkholderia	Prevotella	Pseudomonas	Rothia	Staphylococcus	Streptococcus
SRR20002403	0	0	0	0	11662	8487	0	0	0	0	0	0	0	0	0	0	0	0	130785	0	0	0
SRR20002406	0	0	0	951	24393	0	0	368977	0	0	4382	0	0	12441	1739	0	3929	0	489333	0	0	0
SRR20002410	0	1423	0	0	29885	0	1536278	14613	0	0	0	0	0	0	693	519	6281	0	354597	0	0	0
SRR20002412	0	4791	0	0	50305	0	257654	141759	0	9929	0	240	7275	0	0	0	18001	25189	568706	23461	1380113	73283
SRR20002416	0	18122	413	0	29687	0	0	22647	0	0	0	0	0	0	0	0	246	0	383457	0	0	0
SRR20002417	0	0	0	0	4201	0	0	2766	0	0	0	0	0	0	0	0	0	0	270449	0	0	0
SRR20002419	3359	24827	0	0	123860	38070	0	871415	0	13244	0	4206	0	0	0	1242	48790	0	1212078	0	1712	0
SRR20002420	0	0	0	0	77236	0	0	89714	0	0	0	0	0	0	0	0	1283	0	1075756	0	0	0
SRR20002421	0	583	0	0	9044	0	0	50185	0	0	0	0	0	0	0	0	728	0	274221	0	901225	0
SRR20002422	150	16395	0	0	108890	83	2063	3245071	0	59177	0	4343	0	0	0	0	38299	0	1051242	0	5752446	103461
SRR20002425	9793	101981	0	0	355981	0	0	348530	0	0	0	15043	0	0	40819	14474	105976	0	3407228	0	1836	0
SRR20002427	0	8343	0	0	37744	0	543651	24669	0	0	0	758	2606	0	0	0	8650	15852434	353502	4577	0	43303
SRR20002430	0	2893	0	0	68832	0	1243	562286	0	457	0	0	0	0	0	0	5107	0	3230790	83357	215	16833
SRR20002433	126	69044	0	0	199956	0	0	1875830	0	48507	0	8484	0	0	0	0	53546	0	2142832	0	6866	0
SRR20002435	0	0	0	0	1077	0	3739397	2251	0	0	0	0	7316	659	0	0	0	0	29550	0	0	0
SRR20002439	0	0	0	0	1604	0	0	21449	0	0	0	0	0	0	0	0	0	0	83659	0	0	0
SRR20002441	0	0	0	0	0	0	0	0	0	0	579	0	4187	1570	0	0	0	4544	16178	0	70836	0
SRR20002442	0	59022	0	0	316936	0	0	110275	0	0	0	4757	0	0	0	0	46187	0	2557292	0	0	0
SRR20002443	0	24311	0	0	101326	3315	2188853	736350	0	51147	0	1279	0	0	986	0	35879	2837	1015275	0	734123	0
SRR20002446	0	0	105417	0	28904	0	772	459963	0	1057	0	0	0	0	23347	0	3005	0	471313	0	563871	1519423
SRR20002448	0	56213	0	0	215914	0	0	537974	0	0	0	3718	0	0	8374	0	55477	0	2106672	15990	69667	542162
SRR20002450	0	0	756	0	0	0	0	18265	0	0	0	0	0	0	0	0	0	0	6838	0	2309697	0
SRR20002455	0	63391	0	0	233110	0	0	571413	0	3657	0	3980	0	0	0	12268	69822	0	2302132	0	0	0
SRR20002456	0	8657	0	0	99879	0	0	26814	0	0	0	0	26997	0	0	0	10626	0	1427769	0	0	0
SRR20002459	0	8039	0	0	105348	0	0	63323	0	0	0	0	0	0	0	88109	18371	0	1065751	0	1169435	0
SRR20002464	0	0	0	738	60937	0	0	41720	0	0	3380	0	0	11002	0	0	8792	0	490472	0	0	0
SRR20002465	0	1972	0	0	26475	0	7919744	26291	0	0	0	401	0	0	0	0	10409	204436	252433	0	0	13416
SRR20002466	0	18633	0	0	159921	0	0	195651	0	0	0	0	0	0	0	0	21822	0	1560163	0	1770874	0
SRR20002468	0	0	0	0	0	0	4024265	0	0	0	0	0	0	0	0	0	0	33272	135	0	29043	0
SRR20002473	315	7020	0	0	49217	0	370	43080	0	252	0	1286	0	0	0	0	14182	0	518072	0	9697682	34127
SRR20002474	0	24599	14070	0	216530	59090	0	225144	0	0	0	0	0	0	220	0	47217	0	2324627	0	50650	18172
SRR20002475	0	58309	35135	0	273010	0	0	751055	0	9309	0	0	0	0	0	0	95702	0	2976174	0	22178	403824
SRR20002477	0	31708	0	1479	168600	0	23486	209681	1818	0	0	0	0	19564	7314	0	39472	0	1551735	247	0	25208
SRR20002478	0	0	0	0	19881	0	0	35137	0	0	0	0	0	7523	0	0	5680	0	472283	0	0	0
SRR20002479	0	0	0	0	402	0	0	3269	0	0	0	0	0	0	0	0	0	0	48978	0	277729	0
SRR20002481	0	0	0	0	0	0	0	0	0	0	5964	0	0	18991	0	0	0	0	27892	0	0	0
SRR20002482	0	0	0	602	30452	0	0	35930	0	0	5517	0	0	7572	0	0	4047	0	343580	0	0	0
SRR20002486	0	7022	0	0	67848	0	0	114199	0	0	0	0	0	0	344	0	19667	0	644601	0	0	0
SRR20002487	1146	27299	0	7152	114403	114	0	281674	1652	0	19506	0	0	43658	0	0	36360	0	2052228	0	0	0
