#Classification	S-27-POLJUN-B_bracken_P.kreport
k__Bacteria	1668041
k__Bacteria|p__Actinobacteria	387538
k__Bacteria|p__Cyanobacteria	282446
k__Bacteria|p__Firmicutes	11220
k__Bacteria|p__Chloroflexi	749
k__Bacteria|p__Deinococcus-Thermus	318
k__Bacteria|p__Armatimonadetes	159
k__Bacteria|p__Tenericutes	19
k__Bacteria|p__Proteobacteria	885755
k__Bacteria|p__Acidobacteria	50628
k__Bacteria|p__Bacteroidetes	29179
k__Bacteria|p__Chlorobi	28
k__Bacteria|p__Rhodothermaeota	98
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	317
k__Bacteria|p__Candidatus_Cloacimonetes	4
k__Bacteria|p__Fibrobacteres	6
k__Bacteria|p__Planctomycetes	15244
k__Bacteria|p__Verrucomicrobia	2839
k__Bacteria|p__Chlamydiae	31
k__Bacteria|p__Kiritimatiellaeota	792
k__Bacteria|p__Candidatus_Saccharibacteria	66
k__Bacteria|p__Candidatus_Absconditabacteria	6
k__Bacteria|p__Candidatus_Bipolaricaulota	3
k__Bacteria|p__Spirochaetes	142
k__Bacteria|p__Nitrospirae	26
k__Bacteria|p__Thermotogae	245
k__Bacteria|p__Synergistetes	103
k__Bacteria|p__Calditrichaeota	4
k__Bacteria|p__Thermodesulfobacteria	3
k__Bacteria|p__Deferribacteres	3
k__Bacteria|p__Aquificae	3
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Chrysiogenetes	44
k__Bacteria|p__Dictyoglomi	1
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	22693
k__Eukaryota|k__Fungi	8150
k__Eukaryota|k__Fungi|p__Ascomycota	7729
k__Eukaryota|k__Fungi|p__Basidiomycota	421
k__Eukaryota|k__Metazoa	6267
k__Eukaryota|k__Metazoa|p__Chordata	6267
k__Eukaryota|k__Viridiplantae	8212
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7709
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	503
k__Eukaryota|p__Apicomplexa	30
k__Eukaryota|p__Bacillariophyta	8
k__Eukaryota|p__Cercozoa	5
k__Eukaryota|p__Euglenozoa	14
k__Eukaryota|p__Rhodophyta	2
k__Eukaryota|p__Evosea	1
k__Eukaryota|p__Fornicata	1
k__Archaea	238
k__Archaea|p__Euryarchaeota	235
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Candidatus_Thermoplasmatota	1
k__Viruses	26
k__Viruses|k__Heunggongvirae	24
k__Viruses|k__Heunggongvirae|p__Uroviricota	24
k__Viruses|k__Bamfordvirae	2
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	2
