#Classification	S-22-POLJUN-B_bracken_P.kreport
k__Bacteria	393675
k__Bacteria|p__Proteobacteria	245223
k__Bacteria|p__Cyanobacteria	76330
k__Bacteria|p__Actinobacteria	51668
k__Bacteria|p__Chloroflexi	68
k__Bacteria|p__Firmicutes	9
k__Bacteria|p__Armatimonadetes	5
k__Bacteria|p__Acidobacteria	16356
k__Bacteria|p__Bacteroidetes	2361
k__Bacteria|p__Gemmatimonadetes	336
k__Bacteria|p__Planctomycetes	1197
k__Bacteria|p__Verrucomicrobia	102
k__Bacteria|p__Chlamydiae	14
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	3078
k__Eukaryota|k__Metazoa	1197
k__Eukaryota|k__Metazoa|p__Chordata	1197
k__Eukaryota|k__Fungi	366
k__Eukaryota|k__Fungi|p__Ascomycota	336
k__Eukaryota|k__Fungi|p__Basidiomycota	30
k__Eukaryota|k__Viridiplantae	1513
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1509
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	4
k__Eukaryota|p__Euglenozoa	1
k__Viruses	33
k__Viruses|k__Heunggongvirae	33
k__Viruses|k__Heunggongvirae|p__Uroviricota	33
