#Classification	S-18-POLJUN-B_bracken_P.kreport
k__Bacteria	79904
k__Bacteria|p__Proteobacteria	61304
k__Bacteria|p__Cyanobacteria	10844
k__Bacteria|p__Actinobacteria	2749
k__Bacteria|p__Firmicutes	2847
k__Bacteria|p__Acidobacteria	1699
k__Bacteria|p__Bacteroidetes	423
k__Bacteria|p__Planctomycetes	26
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	392
k__Eukaryota|k__Metazoa	224
k__Eukaryota|k__Metazoa|p__Chordata	224
k__Eukaryota|k__Fungi	27
k__Eukaryota|k__Fungi|p__Basidiomycota	21
k__Eukaryota|k__Fungi|p__Ascomycota	5
k__Eukaryota|k__Viridiplantae	137
k__Eukaryota|k__Viridiplantae|p__Streptophyta	137
k__Eukaryota|p__Euglenozoa	2
