#Classification	GQ15_bracken_P.kreport
k__Bacteria	4531220
k__Bacteria|p__Firmicutes	1561795
k__Bacteria|p__Actinobacteria	1350597
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Proteobacteria	1293860
k__Bacteria|p__Bacteroidetes	299689
k__Bacteria|p__Fusobacteria	22461
k__Bacteria|p__Candidatus_Saccharibacteria	2072
k__Bacteria|p__Spirochaetes	677
k__Bacteria|p__Synergistetes	42
k__Eukaryota	7252
k__Eukaryota|k__Metazoa	6887
k__Eukaryota|k__Metazoa|p__Chordata	6887
k__Eukaryota|k__Fungi	29
k__Eukaryota|k__Fungi|p__Basidiomycota	29
k__Eukaryota|k__Viridiplantae	331
k__Eukaryota|k__Viridiplantae|p__Streptophyta	331
k__Eukaryota|p__Apicomplexa	3
k__Viruses	43
k__Viruses|k__Heunggongvirae	43
k__Viruses|k__Heunggongvirae|p__Uroviricota	29
k__Viruses|k__Heunggongvirae|p__Peploviricota	14
