#Classification	S-1-POLJUN-B_bracken_C.kreport
k__Bacteria	4622
k__Bacteria|p__Proteobacteria	4529
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2300
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2026
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	202
k__Bacteria|p__Actinobacteria	69
k__Bacteria|p__Actinobacteria|c__Actinomycetia	69
k__Bacteria|p__Acidobacteria	14
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	14
k__Bacteria|p__Bacteroidetes	10
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	10
k__Eukaryota	8
k__Eukaryota|k__Metazoa	8
k__Eukaryota|k__Metazoa|p__Chordata	8
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	8
