#Classification	S-20-POLJUN-B_bracken_P.kreport
k__Bacteria	42190
k__Bacteria|p__Cyanobacteria	17512
k__Bacteria|p__Actinobacteria	2757
k__Bacteria|p__Proteobacteria	20832
k__Bacteria|p__Acidobacteria	912
k__Bacteria|p__Bacteroidetes	112
k__Bacteria|p__Planctomycetes	62
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	213
k__Eukaryota|k__Viridiplantae	107
k__Eukaryota|k__Viridiplantae|p__Streptophyta	107
k__Eukaryota|k__Metazoa	102
k__Eukaryota|k__Metazoa|p__Chordata	102
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Ascomycota	3
