#Classification	S-20-POLJUN-B_bracken_C.kreport
k__Bacteria	26839
k__Bacteria|p__Proteobacteria	21702
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	7873
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	13328
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	496
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	4
k__Bacteria|p__Actinobacteria	4037
k__Bacteria|p__Actinobacteria|c__Actinomycetia	4037
k__Bacteria|p__Acidobacteria	917
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	917
k__Bacteria|p__Bacteroidetes	115
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	98
k__Bacteria|p__Bacteroidetes|c__Cytophagia	13
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	3
k__Bacteria|p__Planctomycetes	65
k__Bacteria|p__Planctomycetes|c__Planctomycetia	65
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Eukaryota	213
k__Eukaryota|k__Viridiplantae	107
k__Eukaryota|k__Viridiplantae|p__Streptophyta	107
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	103
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4
k__Eukaryota|k__Metazoa	102
k__Eukaryota|k__Metazoa|p__Chordata	102
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	102
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
