#Classification	S-14-POLPIL-G_bracken_P.kreport
k__Bacteria	47001
k__Bacteria|p__Proteobacteria	44348
k__Bacteria|p__Actinobacteria	1029
k__Bacteria|p__Firmicutes	583
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Acidobacteria	882
k__Bacteria|p__Bacteroidetes	149
k__Bacteria|p__Planctomycetes	4
k__Eukaryota	4759
k__Eukaryota|k__Viridiplantae	4262
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4262
k__Eukaryota|k__Metazoa	458
k__Eukaryota|k__Metazoa|p__Chordata	458
k__Eukaryota|k__Fungi	38
k__Eukaryota|k__Fungi|p__Ascomycota	38
