#Classification	GQ44_bracken_O.kreport
k__Bacteria	25926088
k__Bacteria|p__Firmicutes	11983412
k__Bacteria|p__Firmicutes|c__Clostridia	11460251
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	11459353
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	756
k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales	83
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	51
k__Bacteria|p__Firmicutes|c__Clostridia|o__Koleobacterales	3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales	2
k__Bacteria|p__Firmicutes|c__Negativicutes	354988
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	346362
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	6218
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2407
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	94551
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	94551
k__Bacteria|p__Firmicutes|c__Bacilli	71895
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	55529
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	16366
k__Bacteria|p__Firmicutes|c__Tissierellia	1640
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	1640
k__Bacteria|p__Firmicutes|c__Limnochordia	85
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	85
k__Bacteria|p__Actinobacteria	5183838
k__Bacteria|p__Actinobacteria|c__Actinomycetia	3765609
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	3741897
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	13603
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	3637
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	3267
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	1203
