#Classification	S-24-POLPIL-G_bracken_C.kreport
k__Bacteria	11603
k__Bacteria|p__Proteobacteria	10501
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5553
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3487
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1460
k__Bacteria|p__Actinobacteria	714
k__Bacteria|p__Actinobacteria|c__Actinomycetia	714
k__Bacteria|p__Acidobacteria	222
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	222
k__Bacteria|p__Planctomycetes	135
k__Bacteria|p__Planctomycetes|c__Planctomycetia	135
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Bacteroidetes	28
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	19
k__Bacteria|p__Bacteroidetes|c__Cytophagia	8
k__Eukaryota	1395
k__Eukaryota|k__Viridiplantae	1043
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1043
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1029
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	14
k__Eukaryota|k__Metazoa	349
k__Eukaryota|k__Metazoa|p__Chordata	349
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	349
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
