#Classification	S-24-POLPIL-G_bracken_P.kreport
k__Bacteria	11604
k__Bacteria|p__Proteobacteria	9513
k__Bacteria|p__Cyanobacteria	987
k__Bacteria|p__Actinobacteria	714
k__Bacteria|p__Acidobacteria	223
k__Bacteria|p__Planctomycetes	135
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Bacteroidetes	28
k__Eukaryota	1395
k__Eukaryota|k__Viridiplantae	1043
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1043
k__Eukaryota|k__Metazoa	349
k__Eukaryota|k__Metazoa|p__Chordata	349
k__Eukaryota|k__Fungi	2
k__Eukaryota|k__Fungi|p__Ascomycota	2
