#Classification	S-10-POLPIL-G_bracken_P.kreport
k__Bacteria	41877
k__Bacteria|p__Proteobacteria	35816
k__Bacteria|p__Actinobacteria	1685
k__Bacteria|p__Cyanobacteria	814
k__Bacteria|p__Firmicutes	1217
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Acidobacteria	1619
k__Bacteria|p__Bacteroidetes	523
k__Bacteria|p__Planctomycetes	197
k__Eukaryota	4041
k__Eukaryota|k__Viridiplantae	3484
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3484
k__Eukaryota|k__Metazoa	546
k__Eukaryota|k__Metazoa|p__Chordata	546
k__Eukaryota|k__Fungi	10
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Basidiomycota	6
