#Classification	SRR20002430_bracken_C.kreport
k__Bacteria	4972437
k__Bacteria|p__Proteobacteria	3958425
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3618177
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	309029
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	30038
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	747
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	279
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	148
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	5
k__Bacteria|p__Actinobacteria	504742
k__Bacteria|p__Actinobacteria|c__Actinomycetia	503058
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1390
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	204
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	59
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	29
k__Bacteria|p__Firmicutes	479888
k__Bacteria|p__Firmicutes|c__Bacilli	467972
k__Bacteria|p__Firmicutes|c__Clostridia	9201
k__Bacteria|p__Firmicutes|c__Negativicutes	1851
k__Bacteria|p__Firmicutes|c__Tissierellia	750
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	114
k__Bacteria|p__Deinococcus-Thermus	2751
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	2751
k__Bacteria|p__Chloroflexi	12
k__Bacteria|p__Chloroflexi|c__Chloroflexia	11
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	1
k__Bacteria|p__Bacteroidetes	22904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16932
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	5596
k__Bacteria|p__Bacteroidetes|c__Cytophagia	268
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	107
k__Bacteria|p__Fusobacteria	1967
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1967
k__Bacteria|p__Candidatus_Saccharibacteria	1260
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	1260
k__Bacteria|p__Verrucomicrobia	221
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	216
k__Bacteria|p__Verrucomicrobia|c__Opitutae	5
k__Bacteria|p__Chlamydiae	205
k__Bacteria|p__Chlamydiae|c__Chlamydiia	205
k__Bacteria|p__Spirochaetes	38
k__Bacteria|p__Spirochaetes|c__Spirochaetia	38
k__Bacteria|p__Acidobacteria	19
k__Bacteria|p__Acidobacteria|c__Blastocatellia	19
k__Eukaryota	36562
k__Eukaryota|k__Fungi	18413
k__Eukaryota|k__Fungi|p__Basidiomycota	17934
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	17801
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	124
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	8
k__Eukaryota|k__Fungi|p__Ascomycota	478
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	275
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	120
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	17
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	66
k__Eukaryota|k__Metazoa	1631
k__Eukaryota|k__Metazoa|p__Chordata	1631
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1631
k__Eukaryota|k__Viridiplantae	16483
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16483
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	16483
k__Eukaryota|p__Apicomplexa	32
k__Eukaryota|p__Apicomplexa|c__Conoidasida	32
k__Eukaryota|p__Euglenozoa	2
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	2
k__Archaea	162
k__Archaea|p__Euryarchaeota	157
k__Archaea|p__Euryarchaeota|c__Halobacteria	145
k__Archaea|p__Euryarchaeota|c__Methanobacteria	12
k__Archaea|p__Thaumarchaeota	5
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	5
k__Viruses	850
k__Viruses|k__Heunggongvirae	850
k__Viruses|k__Heunggongvirae|p__Uroviricota	850
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	850
