# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ21/GQ21_unmatched_2.fastq -n GQ21 -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	GQ21
ref_mOTU_v31_00282	Streptococcus pneumoniae	1313	106
ref_mOTU_v31_00283	Streptococcus sp. [Streptococcus pneumoniae/Streptococcus sp. HMSC070B10/Streptococcus sp. HMSC063B03/Streptococcus sp. HMSC077D04/Streptococcus sp. HMSC073F11/Streptococcus sp. CCUG 49591/Streptococcus pseudopneumoniae/Streptococcus mitis/Streptococcus sp. M334]	NA	1903
ref_mOTU_v31_00284	Streptococcus pseudopneumoniae	257758	3
ref_mOTU_v31_00285	Streptococcus mitis	28037	6
ref_mOTU_v31_00286	Streptococcus sp. SK643	1095727	6
ref_mOTU_v31_00287	Streptococcus oralis	1303	18
ref_mOTU_v31_00288	Streptococcus oralis [Streptococcus oralis/Streptococcus sp. oral taxon 071/Streptococcus sp. F0441]	1303	24
ref_mOTU_v31_00289	Streptococcus oralis	1303	23
ref_mOTU_v31_00290	Streptococcus oralis [Streptococcus sp. BS35b/Streptococcus sp. BS21/Streptococcus sp. BS29a/Streptococcus sp. SR1/Streptococcus oralis/Streptococcus sp. CM6]	1303	13
ref_mOTU_v31_00291	Streptococcus oralis	1303	1
ref_mOTU_v31_00292	Streptococcus oralis	1303	25
ref_mOTU_v31_00293	Streptococcus sp. oral taxon 058	712622	4
ref_mOTU_v31_00294	Streptococcus oralis/mitis	NA	2
ref_mOTU_v31_00295	Streptococcus pseudopneumoniae	257758	1
ref_mOTU_v31_00296	Streptococcus oralis	1303	240
ref_mOTU_v31_00299	Streptococcus oralis	1303	2
ref_mOTU_v31_00300	Streptococcus peroris [Streptococcus sp. HMSC34B10/Streptococcus peroris]	68891	3
ref_mOTU_v31_00301	Streptococcus sp. [Streptococcus sp. SK140/Streptococcus oralis/Streptococcus sp. HMSC074B11/Streptococcus sp. HMSC061D10/Streptococcus sp. HMSC056C01/Streptococcus sp. HMSC034E03/Streptococcus sp. HMSC071D03/Streptococcus pseudopneumoniae/Streptococcus infantis/Streptococcus sp. oral taxon 431]	NA	251
ref_mOTU_v31_00302	Streptococcus infantis	68892	26
ref_mOTU_v31_00303	Streptococcus sp. HMSC067H01	1739491	26
ref_mOTU_v31_00304	Streptococcus sp. HPH0090	1203590	13
ref_mOTU_v31_00305	Streptococcus infantis	68892	11
ref_mOTU_v31_00306	Streptococcus infantis	68892	5
ref_mOTU_v31_00307	Streptococcus pseudopneumoniae/infantis [Streptococcus sp. HMSC062D07/Streptococcus pseudopneumoniae/Streptococcus infantis]	NA	330
ref_mOTU_v31_00308	Streptococcus infantis	68892	7
ref_mOTU_v31_00309	Streptococcus timonensis	1852387	832
ref_mOTU_v31_00310	Streptococcus sp. [Streptococcus sp. I-G2/Streptococcus sp. I-P16]	NA	146
ref_mOTU_v31_00311	Streptococcus australis [Streptococcus australis/Streptococcus sp. 400_SSPC/Streptococcus sp. 343_SSPC/Streptococcus sp. 1171_SSPC/Streptococcus sp. A12]	113107	222
ref_mOTU_v31_00312	Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	1318	83
ref_mOTU_v31_00313	Streptococcus sp. F0442	999425	9
ref_mOTU_v31_00379	Lautropia mirabilis	47671	55
ref_mOTU_v31_00567	Streptococcus anginosus	1328	1
ref_mOTU_v31_00571	Streptococcus intermedius	1338	1
ref_mOTU_v31_00572	Streptococcus constellatus	76860	2
ref_mOTU_v31_00892	Capnocytophaga ochracea [Capnocytophaga ochracea/Capnocytophaga sp. oral taxon 323/Capnocytophaga sp. oral taxon 324/Capnocytophaga sp. oral taxon 335/Capnocytophaga sp. oral taxon 336/Capnocytophaga sp. oral taxon 380/Capnocytophaga sp. oral taxon 412]	1018	1
ref_mOTU_v31_00938	Haemophilus influenzae	727	3
ref_mOTU_v31_00939	Haemophilus sp. [Haemophilus quentini/Haemophilus sp. CCUG 66565/Haemophilus haemolyticus/Haemophilus influenzae/Haemophilus sp. oral taxon 851]	NA	10
ref_mOTU_v31_00940	Haemophilus sp. C1	1661745	5
ref_mOTU_v31_00999	Fusobacterium periodonticum	860	60
ref_mOTU_v31_01001	Fusobacterium nucleatum subsp. animalis [Fusobacterium sp. CAG:649/Fusobacterium sp. HMSC065F01/Fusobacterium nucleatum/Fusobacterium sp. CM1]	851	1
ref_mOTU_v31_01002	Fusobacterium nucleatum subsp. vincentii [Fusobacterium sp. HMSC064B12/Fusobacterium nucleatum]	851	1
ref_mOTU_v31_01003	Fusobacterium nucleatum subsp. nucleatum	851	2
ref_mOTU_v31_01004	Fusobacterium hwasookii/nucleatum [Fusobacterium sp. OBRC1/Fusobacterium hwasookii/Fusobacterium sp. HMSC064B11/Fusobacterium nucleatum/Fusobacterium sp. CM22]	NA	4
ref_mOTU_v31_01006	Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	28126	3
ref_mOTU_v31_01068	Haemophilus parainfluenzae	729	89
ref_mOTU_v31_01073	Capnocytophaga sp. oral taxon 326	712212	2
ref_mOTU_v31_01074	Capnocytophaga sputigena	1019	18
ref_mOTU_v31_01079	Prevotellaceae bacterium Marseille-P2826	1852368	30
ref_mOTU_v31_01100	Haemophilus sputorum	1078480	9
ref_mOTU_v31_01348	Streptococcus thermophilus [Streptococcus thermophilus CAG:236/Streptococcus thermophilus]	1308	5
ref_mOTU_v31_01350	Streptococcus salivarius	1304	126
ref_mOTU_v31_01494	Morococcus cerebrosus [Morococcus cerebrosus/Neisseria sp. HMSC03D10/Neisseria sp. HMSC071C03/Neisseria sp. HMSC073B07/Neisseria sp. HMSC071B12]	1056807	1
ref_mOTU_v31_01495	Neisseria sicca/macacae [Neisseria sp. HMSC06F02/Neisseria sp. HMSC70E02/Neisseria sp. HMSC077D05/Neisseria sp. HMSC074B07/Neisseria sp. HMSC055H02/Neisseria sp. HMSC067H09/Neisseria sp. HMSC065D04/Neisseria sicca/Neisseria macacae/Neisseria sp. GT4A_CT1]	NA	26
ref_mOTU_v31_01496	Neisseriaceae sp. [Morococcus cerebrosus/Neisseria sp. HMSC15C08/Neisseria sp. HMSC059F02/Neisseria sp. HMSC055F11/Neisseria sp. HMSC064F04/Neisseria sp. HMSC070E12/Neisseria mucosa]	NA	8
ref_mOTU_v31_01497	Neisseria sp. HMSC072F04	1739348	5
ref_mOTU_v31_01498	Neisseria sp. HMSC064E01	1715052	5
ref_mOTU_v31_01499	Neisseria sicca	490	1
ref_mOTU_v31_01534	Neisseria lactamica	486	1
ref_mOTU_v31_01538	Neisseria gonorrhoeae	485	1
ref_mOTU_v31_01539	Neisseria meningitidis [Neisseria sp. HMSC070F02/Neisseria meningitidis]	487	35
