# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ22/GQ22_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ22/GQ22_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ22/GQ22_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ22/GQ22_unmatched_2.fastq -n GQ22 -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	GQ22
ref_mOTU_v31_00282	Streptococcus pneumoniae	1313	78
ref_mOTU_v31_00283	Streptococcus sp. [Streptococcus pneumoniae/Streptococcus sp. HMSC070B10/Streptococcus sp. HMSC063B03/Streptococcus sp. HMSC077D04/Streptococcus sp. HMSC073F11/Streptococcus sp. CCUG 49591/Streptococcus pseudopneumoniae/Streptococcus mitis/Streptococcus sp. M334]	NA	1279
ref_mOTU_v31_00284	Streptococcus pseudopneumoniae	257758	4
ref_mOTU_v31_00285	Streptococcus mitis	28037	4
ref_mOTU_v31_00286	Streptococcus sp. SK643	1095727	2
ref_mOTU_v31_00287	Streptococcus oralis	1303	11
ref_mOTU_v31_00288	Streptococcus oralis [Streptococcus oralis/Streptococcus sp. oral taxon 071/Streptococcus sp. F0441]	1303	10
ref_mOTU_v31_00289	Streptococcus oralis	1303	6
ref_mOTU_v31_00290	Streptococcus oralis [Streptococcus sp. BS35b/Streptococcus sp. BS21/Streptococcus sp. BS29a/Streptococcus sp. SR1/Streptococcus oralis/Streptococcus sp. CM6]	1303	15
ref_mOTU_v31_00292	Streptococcus oralis	1303	17
ref_mOTU_v31_00294	Streptococcus oralis/mitis	NA	3
ref_mOTU_v31_00296	Streptococcus oralis	1303	261
ref_mOTU_v31_00299	Streptococcus oralis	1303	2
ref_mOTU_v31_00300	Streptococcus peroris [Streptococcus sp. HMSC34B10/Streptococcus peroris]	68891	17
ref_mOTU_v31_00301	Streptococcus sp. [Streptococcus sp. SK140/Streptococcus oralis/Streptococcus sp. HMSC074B11/Streptococcus sp. HMSC061D10/Streptococcus sp. HMSC056C01/Streptococcus sp. HMSC034E03/Streptococcus sp. HMSC071D03/Streptococcus pseudopneumoniae/Streptococcus infantis/Streptococcus sp. oral taxon 431]	NA	194
ref_mOTU_v31_00302	Streptococcus infantis	68892	8
ref_mOTU_v31_00303	Streptococcus sp. HMSC067H01	1739491	24
ref_mOTU_v31_00304	Streptococcus sp. HPH0090	1203590	7
ref_mOTU_v31_00305	Streptococcus infantis	68892	8
ref_mOTU_v31_00306	Streptococcus infantis	68892	3
ref_mOTU_v31_00307	Streptococcus pseudopneumoniae/infantis [Streptococcus sp. HMSC062D07/Streptococcus pseudopneumoniae/Streptococcus infantis]	NA	125
ref_mOTU_v31_00308	Streptococcus infantis	68892	2
ref_mOTU_v31_00309	Streptococcus timonensis	1852387	265
ref_mOTU_v31_00310	Streptococcus sp. [Streptococcus sp. I-G2/Streptococcus sp. I-P16]	NA	60
ref_mOTU_v31_00311	Streptococcus australis [Streptococcus australis/Streptococcus sp. 400_SSPC/Streptococcus sp. 343_SSPC/Streptococcus sp. 1171_SSPC/Streptococcus sp. A12]	113107	154
ref_mOTU_v31_00312	Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	1318	115
ref_mOTU_v31_00313	Streptococcus sp. F0442	999425	3
ref_mOTU_v31_00379	Lautropia mirabilis	47671	24
ref_mOTU_v31_00567	Streptococcus anginosus	1328	1
ref_mOTU_v31_00571	Streptococcus intermedius	1338	4
ref_mOTU_v31_00572	Streptococcus constellatus	76860	1
ref_mOTU_v31_00892	Capnocytophaga ochracea [Capnocytophaga ochracea/Capnocytophaga sp. oral taxon 323/Capnocytophaga sp. oral taxon 324/Capnocytophaga sp. oral taxon 335/Capnocytophaga sp. oral taxon 336/Capnocytophaga sp. oral taxon 380/Capnocytophaga sp. oral taxon 412]	1018	3
ref_mOTU_v31_00938	Haemophilus influenzae	727	4
ref_mOTU_v31_00939	Haemophilus sp. [Haemophilus quentini/Haemophilus sp. CCUG 66565/Haemophilus haemolyticus/Haemophilus influenzae/Haemophilus sp. oral taxon 851]	NA	14
ref_mOTU_v31_00940	Haemophilus sp. C1	1661745	3
ref_mOTU_v31_00999	Fusobacterium periodonticum	860	32
ref_mOTU_v31_01001	Fusobacterium nucleatum subsp. animalis [Fusobacterium sp. CAG:649/Fusobacterium sp. HMSC065F01/Fusobacterium nucleatum/Fusobacterium sp. CM1]	851	1
ref_mOTU_v31_01002	Fusobacterium nucleatum subsp. vincentii [Fusobacterium sp. HMSC064B12/Fusobacterium nucleatum]	851	1
ref_mOTU_v31_01003	Fusobacterium nucleatum subsp. nucleatum	851	2
ref_mOTU_v31_01004	Fusobacterium hwasookii/nucleatum [Fusobacterium sp. OBRC1/Fusobacterium hwasookii/Fusobacterium sp. HMSC064B11/Fusobacterium nucleatum/Fusobacterium sp. CM22]	NA	3
ref_mOTU_v31_01006	Prevotella buccae [Prevotella sp. MSX73/Prevotella buccae]	28126	1
ref_mOTU_v31_01068	Haemophilus parainfluenzae	729	61
ref_mOTU_v31_01073	Capnocytophaga sp. oral taxon 326	712212	4
ref_mOTU_v31_01074	Capnocytophaga sputigena	1019	4
ref_mOTU_v31_01079	Prevotellaceae bacterium Marseille-P2826	1852368	32
ref_mOTU_v31_01100	Haemophilus sputorum	1078480	3
ref_mOTU_v31_01348	Streptococcus thermophilus [Streptococcus thermophilus CAG:236/Streptococcus thermophilus]	1308	9
ref_mOTU_v31_01349	Streptococcus salivarius [Streptococcus salivarius/Streptococcus sp. HSISS2/Streptococcus sp. HSISS3/Streptococcus sp. C150]	1304	2
ref_mOTU_v31_01350	Streptococcus salivarius	1304	764
ref_mOTU_v31_01495	Neisseria sicca/macacae [Neisseria sp. HMSC06F02/Neisseria sp. HMSC70E02/Neisseria sp. HMSC077D05/Neisseria sp. HMSC074B07/Neisseria sp. HMSC055H02/Neisseria sp. HMSC067H09/Neisseria sp. HMSC065D04/Neisseria sicca/Neisseria macacae/Neisseria sp. GT4A_CT1]	NA	11
ref_mOTU_v31_01496	Neisseriaceae sp. [Morococcus cerebrosus/Neisseria sp. HMSC15C08/Neisseria sp. HMSC059F02/Neisseria sp. HMSC055F11/Neisseria sp. HMSC064F04/Neisseria sp. HMSC070E12/Neisseria mucosa]	NA	4
ref_mOTU_v31_01497	Neisseria sp. HMSC072F04	1739348	6
ref_mOTU_v31_01539	Neisseria meningitidis [Neisseria sp. HMSC070F02/Neisseria meningitidis]	487	11
ref_mOTU_v31_01583	Campylobacter rectus	203	1
ref_mOTU_v31_01584	Eikenella sp. [Eikenella sp. NML01-A-086/Eikenella sp. NML03-A-027/Eikenella sp. NML070372/Eikenella sp. NML080894/Eikenella sp. NML120348/Eikenella sp. NML97-A-109/Eikenella sp. NML99-0057/Eikenella sp. NML96-A-049]	NA	1
ref_mOTU_v31_01586	Eikenella corrodens [Eikenella sp. HMSC061C02/Eikenella corrodens]	539	2
ref_mOTU_v31_01588	Eikenella sp. NML130454	1795832	1
ref_mOTU_v31_01589	Prevotella nigrescens	28133	4
ref_mOTU_v31_01590	Prevotella phocaeensis/oralis	NA	1
ref_mOTU_v31_01591	Streptococcus sanguinis	1305	22
ref_mOTU_v31_01592	Streptococcus sanguinis	1305	1
ref_mOTU_v31_01835	Haemophilus paraphrohaemolyticus	736	11
ref_mOTU_v31_01836	Haemophilus parahaemolyticus	735	1
ref_mOTU_v31_01840	Prevotella veroralis	28137	2
ref_mOTU_v31_01841	Prevotella sp. oral taxon 306	712461	1
ref_mOTU_v31_01910	Isoptericola variabilis [Actinomyces sp. HPA0247/Isoptericola variabilis]	139208	6
ref_mOTU_v31_01911	Actinobacteria sp. [Schaalia odontolytica/Actinomyces sp. HMSC035G02/Xylanimonas cellulosilytica/Sanguibacter keddieii/Actinomyces sp. ICM54]	NA	61
ref_mOTU_v31_01912	Actinomyces sp. ICM39	1105029	3
ref_mOTU_v31_01913	Actinomyces sp. [Actinomyces sp. ICM58/Actinomyces sp. oral taxon 172]	NA	7
ref_mOTU_v31_01914	Actinomyces sp. ICM47	936548	20
ref_mOTU_v31_01915	Actinomyces bouchesdurhonensis	1852361	1
ref_mOTU_v31_01938	Veillonella parvula [Veillonella parvula/Veillonella sp. 6_1_27/Veillonella sp. 3_1_44]	29466	13
ref_mOTU_v31_01939	Veillonella rogosae [Veillonella rogosae/Veillonella sp. oral taxon 158]	423477	129
ref_mOTU_v31_01940	Veillonella dispar	39778	14
ref_mOTU_v31_01941	Veillonella atypica [Veillonella sp. HPA0037/Veillonella atypica/Veillonella sp. ACP1/Veillonella sp. ICM51a]	39777	15
ref_mOTU_v31_01942	Veillonella tobetsuensis	1110546	71
ref_mOTU_v31_01958	Slackia exigua [Slackia sp. CM382/Slackia exigua]	84109	2
ref_mOTU_v31_02017	Actinomyces johnsonii [Actinomyces johnsonii/Actinomyces sp. oral taxon 849]	544581	1
ref_mOTU_v31_02018	Actinomyces naeslundii	1655	7
ref_mOTU_v31_02019	Actinomyces oris	544580	66
ref_mOTU_v31_02020	Actinomyces sp. oral taxon 170	712117	15
ref_mOTU_v31_02098	Actinomyces dentalis	272548	3
ref_mOTU_v31_02100	Actinomycetaceae sp. [Actinomyces sp. oral taxon 877/Actinomyces hongkongensis/Schaalia georgiae/Actinomyces sp. oral taxon 178]	NA	2
ref_mOTU_v31_02172	Campylobacter curvus [Campylobacter curvus/Campylobacter sp. FOBRC14]	200	1
ref_mOTU_v31_02297	Leptotrichia massiliensis [Leptotrichia massiliensis/Leptotrichia sp. oral taxon 225]	1852388	2
ref_mOTU_v31_02298	Leptotrichia hofstadii	157688	2
ref_mOTU_v31_02299	Leptotrichia buccalis	40542	2
ref_mOTU_v31_02300	Leptotrichia sp. oral taxon 879	1227267	2
ref_mOTU_v31_02301	Leptotrichia trevisanii	109328	2
ref_mOTU_v31_02302	Leptotrichia wadei	157687	27
ref_mOTU_v31_02303	Leptotrichia shahii	157691	3
ref_mOTU_v31_02392	Prevotella intermedia	28131	26
