#Classification	SRR20002364_bracken_P.kreport
k__Bacteria	175763
k__Bacteria|p__Proteobacteria	164282
k__Bacteria|p__Actinobacteria	6085
k__Bacteria|p__Firmicutes	5259
k__Bacteria|p__Deinococcus-Thermus	14
k__Bacteria|p__Bacteroidetes	122
k__Eukaryota	2938
k__Eukaryota|k__Metazoa	2540
k__Eukaryota|k__Metazoa|p__Chordata	2540
k__Eukaryota|k__Fungi	152
k__Eukaryota|k__Fungi|p__Basidiomycota	138
k__Eukaryota|k__Fungi|p__Ascomycota	13
k__Eukaryota|k__Viridiplantae	245
k__Eukaryota|k__Viridiplantae|p__Streptophyta	245
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
