#Classification	S-22-POLPIL-G_bracken_P.kreport
k__Bacteria	19104
k__Bacteria|p__Proteobacteria	13638
k__Bacteria|p__Cyanobacteria	3750
k__Bacteria|p__Actinobacteria	716
k__Bacteria|p__Firmicutes	882
k__Bacteria|p__Acidobacteria	89
k__Bacteria|p__Bacteroidetes	25
k__Bacteria|p__Planctomycetes	3
k__Eukaryota	2448
k__Eukaryota|k__Metazoa	1310
k__Eukaryota|k__Metazoa|p__Chordata	1310
k__Eukaryota|k__Fungi	31
k__Eukaryota|k__Fungi|p__Ascomycota	31
k__Eukaryota|k__Viridiplantae	1106
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1106
