#Classification	S-6-POLPIL-B_bracken_P.kreport
k__Bacteria	1738291
k__Bacteria|p__Proteobacteria	1238402
k__Bacteria|p__Actinobacteria	309403
k__Bacteria|p__Cyanobacteria	2591
k__Bacteria|p__Firmicutes	14110
k__Bacteria|p__Deinococcus-Thermus	313
k__Bacteria|p__Chloroflexi	496
k__Bacteria|p__Armatimonadetes	128
k__Bacteria|p__Tenericutes	31
k__Bacteria|p__Acidobacteria	85160
k__Bacteria|p__Bacteroidetes	67977
k__Bacteria|p__Chlorobi	72
k__Bacteria|p__Rhodothermaeota	147
k__Bacteria|p__Balneolaeota	3
k__Bacteria|p__Ignavibacteriae	2
k__Bacteria|p__Gemmatimonadetes	252
k__Bacteria|p__Planctomycetes	12164
k__Bacteria|p__Verrucomicrobia	5520
k__Bacteria|p__Chlamydiae	88
k__Bacteria|p__Kiritimatiellaeota	627
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	153
k__Bacteria|p__Candidatus_Absconditabacteria	5
k__Bacteria|p__Candidatus_Bipolaricaulota	6
k__Bacteria|p__Spirochaetes	340
k__Bacteria|p__Nitrospirae	52
k__Bacteria|p__Deferribacteres	18
k__Bacteria|p__Synergistetes	42
k__Bacteria|p__Thermotogae	9
k__Bacteria|p__Fusobacteria	61
k__Bacteria|p__Calditrichaeota	3
k__Bacteria|p__Chrysiogenetes	92
k__Bacteria|p__Aquificae	4
k__Bacteria|p__Atribacterota	2
k__Bacteria|p__Elusimicrobia	2
k__Bacteria|p__Thermodesulfobacteria	1
k__Eukaryota	38093
k__Eukaryota|k__Fungi	11356
k__Eukaryota|k__Fungi|p__Ascomycota	8898
k__Eukaryota|k__Fungi|p__Basidiomycota	2458
k__Eukaryota|k__Metazoa	10994
k__Eukaryota|k__Metazoa|p__Chordata	10994
k__Eukaryota|k__Viridiplantae	15630
k__Eukaryota|k__Viridiplantae|p__Streptophyta	15156
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	473
k__Eukaryota|p__Apicomplexa	40
k__Eukaryota|p__Bacillariophyta	17
k__Eukaryota|p__Cercozoa	9
k__Eukaryota|p__Euglenozoa	22
k__Eukaryota|p__Evosea	11
k__Eukaryota|p__Rhodophyta	11
k__Archaea	195
k__Archaea|p__Euryarchaeota	186
k__Archaea|p__Thaumarchaeota	4
k__Archaea|p__Crenarchaeota	2
k__Archaea|p__Candidatus_Thermoplasmatota	2
k__Archaea|p__Candidatus_Lokiarchaeota	1
k__Viruses	36
k__Viruses|k__Heunggongvirae	35
k__Viruses|k__Heunggongvirae|p__Uroviricota	34
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
