#Classification	SRR20002433_bracken_P.kreport
k__Bacteria	3208887
k__Bacteria|p__Proteobacteria	2326569
k__Bacteria|p__Actinobacteria	700358
k__Bacteria|p__Firmicutes	176425
k__Bacteria|p__Deinococcus-Thermus	519
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Bacteroidetes	4777
k__Bacteria|p__Verrucomicrobia	99
k__Bacteria|p__Chlamydiae	85
k__Bacteria|p__Fusobacteria	47
k__Bacteria|p__Spirochaetes	2
k__Eukaryota	172202
k__Eukaryota|k__Viridiplantae	154658
k__Eukaryota|k__Viridiplantae|p__Streptophyta	154658
k__Eukaryota|k__Fungi	15347
k__Eukaryota|k__Fungi|p__Basidiomycota	13785
k__Eukaryota|k__Fungi|p__Ascomycota	1561
k__Eukaryota|k__Metazoa	2195
k__Eukaryota|k__Metazoa|p__Chordata	2195
k__Eukaryota|p__Apicomplexa	1
k__Viruses	554
k__Viruses|k__Heunggongvirae	511
k__Viruses|k__Heunggongvirae|p__Uroviricota	511
k__Viruses|k__Shotokuvirae	43
k__Viruses|k__Shotokuvirae|p__Cossaviricota	43
