#Classification	W-2-TORTOR-G_bracken_O.kreport
k__Bacteria	238749
k__Bacteria|p__Proteobacteria	200544
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	111762
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	79361
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	30765
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	1177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	412
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	44
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	75813
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	75473
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	209
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	12920
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10595
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	1882
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	220
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	76
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	46
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	40
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	6
k__Bacteria|p__Proteobacteria|c__Oligoflexia	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	2
k__Bacteria|p__Actinobacteria	17395
k__Bacteria|p__Actinobacteria|c__Actinomycetia	16806
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	13592
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	2654
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	318
