#Classification	W-2-TORTOR-G_bracken_P.kreport
k__Bacteria	238837
k__Bacteria|p__Proteobacteria	200544
k__Bacteria|p__Actinobacteria	17395
k__Bacteria|p__Cyanobacteria	15373
k__Bacteria|p__Firmicutes	1168
k__Bacteria|p__Deinococcus-Thermus	25
k__Bacteria|p__Armatimonadetes	11
k__Bacteria|p__Chloroflexi	5
k__Bacteria|p__Acidobacteria	1956
k__Bacteria|p__Bacteroidetes	1757
k__Bacteria|p__Gemmatimonadetes	11
k__Bacteria|p__Verrucomicrobia	392
k__Bacteria|p__Planctomycetes	159
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Candidatus_Saccharibacteria	32
k__Eukaryota	37450
k__Eukaryota|k__Viridiplantae	36612
k__Eukaryota|k__Viridiplantae|p__Streptophyta	36612
k__Eukaryota|k__Metazoa	744
k__Eukaryota|k__Metazoa|p__Chordata	744
k__Eukaryota|k__Fungi	88
k__Eukaryota|k__Fungi|p__Ascomycota	84
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|p__Euglenozoa	6
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	2
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
