#Classification	S-21-POLJUN-B_bracken_P.kreport
k__Bacteria	1903526
k__Bacteria|p__Actinobacteria	523444
k__Bacteria|p__Cyanobacteria	372752
k__Bacteria|p__Firmicutes	94928
k__Bacteria|p__Chloroflexi	530
k__Bacteria|p__Deinococcus-Thermus	356
k__Bacteria|p__Armatimonadetes	204
k__Bacteria|p__Tenericutes	54
k__Bacteria|p__Proteobacteria	817235
k__Bacteria|p__Acidobacteria	41684
k__Bacteria|p__Bacteroidetes	30221
k__Bacteria|p__Chlorobi	33
k__Bacteria|p__Rhodothermaeota	77
k__Bacteria|p__Ignavibacteriae	3
k__Bacteria|p__Balneolaeota	1
k__Bacteria|p__Gemmatimonadetes	560
k__Bacteria|p__Fibrobacteres	5
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	17751
k__Bacteria|p__Verrucomicrobia	2321
k__Bacteria|p__Chlamydiae	78
k__Bacteria|p__Kiritimatiellaeota	706
k__Bacteria|p__Candidatus_Omnitrophica	1
k__Bacteria|p__Candidatus_Saccharibacteria	117
k__Bacteria|p__Candidatus_Absconditabacteria	8
k__Bacteria|p__Spirochaetes	127
k__Bacteria|p__Synergistetes	94
k__Bacteria|p__Nitrospirae	18
k__Bacteria|p__Thermotogae	88
k__Bacteria|p__Fusobacteria	6
k__Bacteria|p__Chrysiogenetes	94
k__Bacteria|p__Thermodesulfobacteria	3
k__Bacteria|p__Deferribacteres	4
k__Bacteria|p__Calditrichaeota	2
k__Bacteria|p__Elusimicrobia	2
k__Bacteria|p__Atribacterota	1
k__Bacteria|p__Aquificae	1
k__Eukaryota	29962
k__Eukaryota|k__Fungi	8362
k__Eukaryota|k__Fungi|p__Ascomycota	6936
k__Eukaryota|k__Fungi|p__Basidiomycota	1425
k__Eukaryota|k__Metazoa	7358
k__Eukaryota|k__Metazoa|p__Chordata	7358
k__Eukaryota|k__Viridiplantae	14181
k__Eukaryota|k__Viridiplantae|p__Streptophyta	13812
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	369
k__Eukaryota|p__Apicomplexa	30
k__Eukaryota|p__Ciliophora	1
k__Eukaryota|p__Bacillariophyta	10
k__Eukaryota|p__Cercozoa	6
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Evosea	1
k__Archaea	281
k__Archaea|p__Euryarchaeota	280
k__Archaea|p__Thaumarchaeota	1
k__Viruses	36
k__Viruses|k__Heunggongvirae	33
k__Viruses|k__Heunggongvirae|p__Uroviricota	33
k__Viruses|k__Bamfordvirae	3
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	3
