#Classification	S-13-POLJUN-B_bracken_P.kreport
k__Bacteria	340596
k__Bacteria|p__Cyanobacteria	101294
k__Bacteria|p__Actinobacteria	44171
k__Bacteria|p__Armatimonadetes	20
k__Bacteria|p__Firmicutes	159
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Proteobacteria	179094
k__Bacteria|p__Acidobacteria	8559
k__Bacteria|p__Bacteroidetes	5894
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	1214
k__Bacteria|p__Verrucomicrobia	174
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	3218
k__Eukaryota|k__Metazoa	1314
k__Eukaryota|k__Metazoa|p__Chordata	1314
k__Eukaryota|k__Fungi	325
k__Eukaryota|k__Fungi|p__Ascomycota	311
k__Eukaryota|k__Fungi|p__Basidiomycota	14
k__Eukaryota|k__Viridiplantae	1572
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1557
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	14
k__Eukaryota|p__Euglenozoa	6
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
