#Classification	GQ24_bracken_P.kreport
k__Bacteria	3019507
k__Bacteria|p__Firmicutes	2038609
k__Bacteria|p__Actinobacteria	222326
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Bacteroidetes	547108
k__Bacteria|p__Proteobacteria	201362
k__Bacteria|p__Fusobacteria	7183
k__Bacteria|p__Candidatus_Saccharibacteria	2742
k__Bacteria|p__Spirochaetes	164
k__Bacteria|p__Synergistetes	9
k__Eukaryota	7141
k__Eukaryota|k__Metazoa	6355
k__Eukaryota|k__Metazoa|p__Chordata	6355
k__Eukaryota|k__Fungi	27
k__Eukaryota|k__Fungi|p__Basidiomycota	27
k__Eukaryota|k__Viridiplantae	754
k__Eukaryota|k__Viridiplantae|p__Streptophyta	754
k__Eukaryota|p__Apicomplexa	4
k__Viruses	18
k__Viruses|k__Heunggongvirae	18
k__Viruses|k__Heunggongvirae|p__Uroviricota	13
k__Viruses|k__Heunggongvirae|p__Peploviricota	5
