#Classification	W-2-POLJUN-G_bracken_O.kreport
k__Bacteria	488
k__Bacteria|p__Proteobacteria	455
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	436
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	64
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	371
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	17
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	17
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2
k__Bacteria|p__Actinobacteria	20
k__Bacteria|p__Actinobacteria|c__Actinomycetia	20
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	20
k__Bacteria|p__Acidobacteria	12
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	12
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	12
k__Bacteria|p__Bacteroidetes	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1
