#Classification	GQ7_bracken_P.kreport
k__Bacteria	4856260
k__Bacteria|p__Firmicutes	2752962
k__Bacteria|p__Actinobacteria	502749
k__Bacteria|p__Tenericutes	40
k__Bacteria|p__Cyanobacteria	3
k__Bacteria|p__Chloroflexi	2
k__Bacteria|p__Bacteroidetes	1288986
k__Bacteria|p__Proteobacteria	207665
k__Bacteria|p__Candidatus_Saccharibacteria	72568
k__Bacteria|p__Fusobacteria	27960
k__Bacteria|p__Spirochaetes	2409
k__Bacteria|p__Synergistetes	907
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Aquificae	1
k__Eukaryota	39558
k__Eukaryota|k__Viridiplantae	32416
k__Eukaryota|k__Viridiplantae|p__Streptophyta	32392
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	24
k__Eukaryota|k__Metazoa	6967
k__Eukaryota|k__Metazoa|p__Chordata	6967
k__Eukaryota|k__Fungi	167
k__Eukaryota|k__Fungi|p__Ascomycota	95
k__Eukaryota|k__Fungi|p__Basidiomycota	72
k__Eukaryota|p__Apicomplexa	6
k__Eukaryota|p__Euglenozoa	1
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Viruses	275
k__Viruses|k__Heunggongvirae	274
k__Viruses|k__Heunggongvirae|p__Uroviricota	211
k__Viruses|k__Heunggongvirae|p__Peploviricota	63
k__Viruses|k__Pararnavirae	1
k__Viruses|k__Pararnavirae|p__Artverviricota	1
