#Classification	S-6-POLCOM-B_bracken_P.kreport
k__Bacteria	26053
k__Bacteria|p__Proteobacteria	22719
k__Bacteria|p__Actinobacteria	2382
k__Bacteria|p__Cyanobacteria	15
k__Bacteria|p__Acidobacteria	775
k__Bacteria|p__Bacteroidetes	119
k__Bacteria|p__Planctomycetes	39
k__Bacteria|p__Chlamydiae	1
k__Eukaryota	315
k__Eukaryota|k__Metazoa	135
k__Eukaryota|k__Metazoa|p__Chordata	135
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Ascomycota	25
k__Eukaryota|k__Fungi|p__Basidiomycota	7
k__Eukaryota|k__Viridiplantae	146
k__Eukaryota|k__Viridiplantae|p__Streptophyta	146
