#Classification	S-7-POLCOM-G_bracken_O.kreport
k__Bacteria	1332116
k__Bacteria|p__Proteobacteria	952304
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	534135
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	289478
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	159224
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	66979
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	8515
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	9614
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	152
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	79
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	38
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	275966
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	268065
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4222
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1626
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2052
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	139586
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	93862
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	29998
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7945
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1271
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1391
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	2667
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	258
