name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Gilliamella apicola	133069	S	5434	1980	7414	0.08071
Gilliamella sp946481345	133105	S	2284	5104	7388	0.08042
Gilliamella apicola_N	133081	S	1930	1195	3125	0.03402
Gilliamella sp946482005	133106	S	1339	2796	4135	0.04501
Gilliamella sp946480175	133104	S	1250	518	1768	0.01925
Gilliamella apis	133085	S	894	650	1544	0.01681
Gilliamella apicola_R	133084	S	812	1030	1842	0.02005
Gilliamella apis_A	133086	S	548	732	1280	0.01393
Gilliamella apicola_Q	133083	S	217	154	371	0.00404
Gilliamella sp002142215	133091	S	138	106	244	0.00266
Gilliamella bombi	133087	S	13	1986	1999	0.02176
Gilliamella sp945273075	133100	S	7	127	134	0.00146
Gilliamella apicola_L	133079	S	6	0	6	0.00007
Gilliamella sp009795885	133094	S	6	3	9	0.00010
Gilliamella apicola_P	133082	S	5	4	9	0.00010
Gilliamella apicola_M	133080	S	3	6	9	0.00010
Gilliamella sp009795805	133092	S	3	0	3	0.00003
Gilliamella apicola_C	133071	S	3	0	3	0.00003
Gilliamella apicola_A	133070	S	2	0	2	0.00002
Gilliamella apicola_F	133073	S	1	0	1	0.00001
Frischella perrara	133059	S	7619	714	8333	0.09071
Rahnella variigena	133415	S	16	10	26	0.00028
Atlantibacter sp002358165	132831	S	3	2	5	0.00005
Serratia marcescens_J	133452	S	2	5	7	0.00008
Pantoea agglomerans	133241	S	2	0	2	0.00002
Shewanella xiamenensis	134210	S	4	0	4	0.00004
Vibrio ouci	134516	S	2	34	36	0.00039
Snodgrassella alvi	130431	S	1519	276	1795	0.01954
Snodgrassella alvi_G	130436	S	519	267	786	0.00856
Snodgrassella sp946481965	130443	S	252	166	418	0.00455
Snodgrassella alvi_C	130433	S	2	1	3	0.00003
Snodgrassella alvi_D	130434	S	2	0	2	0.00002
Snodgrassella alvi_B	130432	S	1	0	1	0.00001
Limnobacter parvus	127534	S	295	22	317	0.00345
Acidovorax facilis	126353	S	2	5	7	0.00008
Comamonas tsuruhatensis	126889	S	2	1	3	0.00003
Herbaspirillum huttiense	127116	S	2	37	39	0.00042
Variovorax ginsengisoli_A	129440	S	1	0	1	0.00001
Vogesella mureinivorans	129842	S	179	117	296	0.00322
Entomomonas sp945283395	138084	S	22	0	22	0.00024
Entomomonas moraniae	138082	S	2	0	2	0.00002
Commensalibacter melissae	113763	S	150	13	163	0.00177
Commensalibacter sp945266285	113767	S	8	1	9	0.00010
Bombella favorum	113695	S	25	4	29	0.00032
Bombella saccharophila	113700	S	21	12	33	0.00036
Bombella pollinis	113699	S	17	10	27	0.00029
Bombella apis	113693	S	13	2	15	0.00016
Bombella pluederhausensis	113698	S	2	0	2	0.00002
Bartonella_A sp946478665	119311	S	2	1	3	0.00003
Bartonella_A apis	119303	S	1	0	1	0.00001
Mesorhizobium sp004017275	119587	S	1	2	3	0.00003
Methylobacterium sp001422985	118296	S	2	0	2	0.00002
Methylobacterium sp001422815	118294	S	2	0	2	0.00002
Pseudophaeobacter sp029697505	122079	S	4	1	5	0.00005
Tabrizicola sp022842145	122656	S	2	0	2	0.00002
Ruegeria sp947504215	122444	S	1	0	1	0.00001
Erythrobacter sp006542605	124308	S	1	0	1	0.00001
Lactobacillus melliventris	55401	S	2120	1657	3777	0.04112
Lactobacillus apis	55371	S	1760	898	2658	0.02893
Lactobacillus sp945290125	55440	S	615	161	776	0.00845
Lactobacillus helsingborgensis	55384	S	463	385	848	0.00923
Lactobacillus apis_A	55372	S	380	822	1202	0.01308
Lactobacillus kimbladii	55396	S	350	773	1123	0.01222
Lactobacillus sp016100975	55419	S	284	348	632	0.00688
Lactobacillus sp946479925	55443	S	277	701	978	0.01065
Lactobacillus sp946482465	55445	S	262	546	808	0.00880
Lactobacillus laiwuensis	55400	S	165	186	351	0.00382
Lactobacillus kullabergensis	55399	S	161	311	472	0.00514
Lactobacillus sp946477855	55442	S	123	277	400	0.00435
Lactobacillus kimbladii_B	55397	S	112	245	357	0.00389
Lactobacillus huangpiensis	55387	S	93	110	203	0.00221
Lactobacillus sp946482425	55444	S	86	273	359	0.00391
Lactobacillus sp003692965	55413	S	4	5	9	0.00010
Lactobacillus sp945281075	55439	S	3	0	3	0.00003
Lactobacillus panisapium	55405	S	1	4	5	0.00005
Bombilactobacillus mellis	55231	S	5590	10781	16371	0.17821
Bombilactobacillus mellis_A	55232	S	2194	11363	13557	0.14758
Bombilactobacillus mellifer	55230	S	105	143	248	0.00270
Apilactobacillus kunkeei	55210	S	33	69	102	0.00111
Apilactobacillus waqarii	55221	S	21	36	57	0.00062
Apilactobacillus kunkeei_E	55212	S	10	10	20	0.00022
Apilactobacillus kunkeei_F	55213	S	6	11	17	0.00019
Apilactobacillus kunkeei_C	55211	S	5	10	15	0.00016
Apilactobacillus zhangqiuensis	55223	S	1	0	1	0.00001
CALYQJ01 sp945273735	55234	S	20	2	22	0.00024
Limosilactobacillus sp946579075	55642	S	2	1	3	0.00003
Fructobacillus fructosus	55294	S	2	1	3	0.00003
Bifidobacterium indicum	42787	S	1566	133	1699	0.01849
Bifidobacterium apousia	42747	S	74	144	218	0.00237
Bifidobacterium polysaccharolyticum	42812	S	50	49	99	0.00108
Bifidobacterium choladohabitans	42770	S	42	112	154	0.00168
Bifidobacterium asteroides_J	42755	S	19	39	58	0.00063
Bifidobacterium asteroides_F	42751	S	14	20	34	0.00037
Bifidobacterium mizhiense	42804	S	12	22	34	0.00037
Bifidobacterium asteroides_H	42753	S	12	38	50	0.00054
Bifidobacterium asteroides_G	42752	S	8	2	10	0.00011
Bifidobacterium asteroides	42750	S	5	5	10	0.00011
Bifidobacterium sp000499285	42832	S	4	6	10	0.00011
Bifidobacterium mellis	42799	S	1	3	4	0.00004
Bifidobacterium asteroides_I	42754	S	1	2	3	0.00003
Bifidobacterium sp945269915	42865	S	1	0	1	0.00001
Micrococcus luteus	45158	S	2	9	11	0.00012
Cutibacterium acnes	48418	S	11	14	25	0.00027
Cutibacterium namnetense	48422	S	6	0	6	0.00007
Arachnia sp936941515	48389	S	2	10	12	0.00013
Rhodococcus qingshengii	47027	S	2	3	5	0.00005
Saccharomonospora glauca	47513	S	2	1	3	0.00003
Thermobifida alba	50322	S	4	0	4	0.00004
Phytoactinopolyspora halophila	45402	S	1	14	15	0.00016
Streptomyces fumigatiscleroticus	49127	S	1	148	149	0.00162
Apibacter sp945280365	89010	S	56	30	86	0.00094
Flavobacterium sp011751075	86825	S	2	9	11	0.00012
JC017 sp004296775	79335	S	1	16	17	0.00019
Cecembia lonarensis	84734	S	1	3	4	0.00004
CAMLLW01 sp946481295	63976	S	8	4	12	0.00013
Wujia sp900766925	63935	S	1	0	1	0.00001
