#Classification	GQ36_bracken_P.kreport
k__Bacteria	4322470
k__Bacteria|p__Firmicutes	2071051
k__Bacteria|p__Actinobacteria	250233
k__Bacteria|p__Bacteroidetes	1856742
k__Bacteria|p__Verrucomicrobia	13984
k__Bacteria|p__Proteobacteria	130423
k__Bacteria|p__Synergistetes	34
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Archaea	11849
k__Archaea|p__Euryarchaeota	11849
k__Eukaryota	241
k__Eukaryota|k__Fungi	239
k__Eukaryota|k__Fungi|p__Ascomycota	239
k__Eukaryota|k__Viridiplantae	2
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2
k__Viruses	624
k__Viruses|k__Heunggongvirae	624
k__Viruses|k__Heunggongvirae|p__Uroviricota	624
