#Classification	NS11_bracken_C.kreport
k__Bacteria	7435640
k__Bacteria|p__Bacteroidetes	5908433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5908420
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	13
k__Bacteria|p__Firmicutes	1274539
k__Bacteria|p__Firmicutes|c__Clostridia	846562
k__Bacteria|p__Firmicutes|c__Negativicutes	397819
k__Bacteria|p__Firmicutes|c__Bacilli	21401
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	8731
k__Bacteria|p__Firmicutes|c__Tissierellia	25
k__Bacteria|p__Actinobacteria	126225
k__Bacteria|p__Actinobacteria|c__Actinomycetia	93336
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	32889
k__Bacteria|p__Proteobacteria	112790
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	104013
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	8633
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	102
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	17
k__Bacteria|p__Verrucomicrobia	13595
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	13595
k__Bacteria|p__Spirochaetes	53
k__Bacteria|p__Spirochaetes|c__Spirochaetia	53
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1
k__Eukaryota	93
k__Eukaryota|k__Fungi	92
k__Eukaryota|k__Fungi|p__Ascomycota	92
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	92
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Archaea	22
k__Archaea|p__Euryarchaeota	22
k__Archaea|p__Euryarchaeota|c__Methanobacteria	22
k__Viruses	6685
k__Viruses|k__Heunggongvirae	6636
k__Viruses|k__Heunggongvirae|p__Uroviricota	6636
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	6636
k__Viruses|k__Sangervirae	49
k__Viruses|k__Sangervirae|p__Phixviricota	49
k__Viruses|k__Sangervirae|p__Phixviricota|c__Malgrandaviricetes	49
