#Classification	NS11_bracken_P.kreport
k__Bacteria	7435646
k__Bacteria|p__Bacteroidetes	5908433
k__Bacteria|p__Firmicutes	1274539
k__Bacteria|p__Actinobacteria	126225
k__Bacteria|p__Verrucomicrobia	13601
k__Bacteria|p__Proteobacteria	112790
k__Bacteria|p__Spirochaetes	46
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Bacteria|p__Fusobacteria	1
k__Eukaryota	93
k__Eukaryota|k__Fungi	92
k__Eukaryota|k__Fungi|p__Ascomycota	92
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Archaea	22
k__Archaea|p__Euryarchaeota	22
k__Viruses	6685
k__Viruses|k__Heunggongvirae	6636
k__Viruses|k__Heunggongvirae|p__Uroviricota	6636
k__Viruses|k__Sangervirae	49
k__Viruses|k__Sangervirae|p__Phixviricota	49
