#Classification	S-2-POLPIL-G_bracken_O.kreport
k__Bacteria	784490
k__Bacteria|p__Proteobacteria	530033
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	345424
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	206411
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	92925
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	34166
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	8202
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	3490
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	33
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	96
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	90
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	142923
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	139304
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2113
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	627
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	877
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	39895
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	15057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	12450
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	8300
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	684
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	824
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	146
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	98
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1123
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	254
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	106
