#Classification	S-8-POLCOM-G_bracken_P.kreport
k__Bacteria	27715
k__Bacteria|p__Proteobacteria	25445
k__Bacteria|p__Actinobacteria	1193
k__Bacteria|p__Cyanobacteria	53
k__Bacteria|p__Firmicutes	480
k__Bacteria|p__Acidobacteria	288
k__Bacteria|p__Bacteroidetes	246
k__Bacteria|p__Planctomycetes	5
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	617
k__Eukaryota|k__Viridiplantae	469
k__Eukaryota|k__Viridiplantae|p__Streptophyta	469
k__Eukaryota|k__Metazoa	119
k__Eukaryota|k__Metazoa|p__Chordata	119
k__Eukaryota|k__Fungi	28
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Fungi|p__Basidiomycota	8
