#Classification	S-8-POLCOM-G_bracken_O.kreport
k__Bacteria	27709
k__Bacteria|p__Proteobacteria	25445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	11318
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10413
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	887
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	10441
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	10441
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3686
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	1447
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	346
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	45
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	1847
k__Bacteria|p__Actinobacteria	1193
k__Bacteria|p__Actinobacteria|c__Actinomycetia	1193
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	685
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	99
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	193
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	142
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	69
k__Bacteria|p__Firmicutes	480
k__Bacteria|p__Firmicutes|c__Bacilli	480
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	480
k__Bacteria|p__Cyanobacteria	53
k__Bacteria|p__Cyanobacteria|o__Nostocales	53
k__Bacteria|p__Acidobacteria	283
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	283
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	283
k__Bacteria|p__Bacteroidetes	246
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	234
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	234
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	7
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	7
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	5
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	5
k__Bacteria|p__Planctomycetes	5
k__Bacteria|p__Planctomycetes|c__Planctomycetia	5
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	5
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia	1
k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Parachlamydiales	1
k__Eukaryota	610
k__Eukaryota|k__Viridiplantae	462
k__Eukaryota|k__Viridiplantae|p__Streptophyta	462
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	461
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	461
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Malpighiales	1
k__Eukaryota|k__Metazoa	119
k__Eukaryota|k__Metazoa|p__Chordata	119
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	119
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	119
k__Eukaryota|k__Fungi	28
k__Eukaryota|k__Fungi|p__Ascomycota	19
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	1
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	1
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	7
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	7
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	1
