#Classification	GQ8_bracken_P.kreport
k__Bacteria	7869176
k__Bacteria|p__Firmicutes	7227911
k__Bacteria|p__Actinobacteria	444236
k__Bacteria|p__Tenericutes	39
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Bacteroidetes	88506
k__Bacteria|p__Proteobacteria	67363
k__Bacteria|p__Fusobacteria	38141
k__Bacteria|p__Candidatus_Saccharibacteria	2306
k__Bacteria|p__Spirochaetes	542
k__Bacteria|p__Synergistetes	121
k__Eukaryota	8719
k__Eukaryota|k__Metazoa	6732
k__Eukaryota|k__Metazoa|p__Chordata	6732
k__Eukaryota|k__Fungi	645
k__Eukaryota|k__Fungi|p__Basidiomycota	571
k__Eukaryota|k__Fungi|p__Ascomycota	73
k__Eukaryota|k__Viridiplantae	1342
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1342
k__Viruses	4038
k__Viruses|k__Heunggongvirae	4038
k__Viruses|k__Heunggongvirae|p__Uroviricota	4029
k__Viruses|k__Heunggongvirae|p__Peploviricota	9
