#Classification	S-4-POLCOM-B_bracken_P.kreport
k__Bacteria	654435
k__Bacteria|p__Proteobacteria	471484
k__Bacteria|p__Actinobacteria	85296
k__Bacteria|p__Cyanobacteria	17163
k__Bacteria|p__Firmicutes	2873
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	59559
k__Bacteria|p__Bacteroidetes	16670
k__Bacteria|p__Gemmatimonadetes	4
k__Bacteria|p__Planctomycetes	1010
k__Bacteria|p__Verrucomicrobia	329
k__Bacteria|p__Chlamydiae	23
k__Bacteria|p__Candidatus_Saccharibacteria	12
k__Eukaryota	2576
k__Eukaryota|k__Metazoa	1243
k__Eukaryota|k__Metazoa|p__Chordata	1243
k__Eukaryota|k__Fungi	764
k__Eukaryota|k__Fungi|p__Ascomycota	578
k__Eukaryota|k__Fungi|p__Basidiomycota	185
k__Eukaryota|k__Viridiplantae	555
k__Eukaryota|k__Viridiplantae|p__Streptophyta	547
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	7
k__Eukaryota|p__Euglenozoa	11
k__Eukaryota|p__Cercozoa	1
k__Eukaryota|p__Apicomplexa	1
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
