#Classification	S-2-POLCOM-B_bracken_P.kreport
k__Bacteria	31081
k__Bacteria|p__Proteobacteria	26585
k__Bacteria|p__Actinobacteria	1934
k__Bacteria|p__Cyanobacteria	449
k__Bacteria|p__Firmicutes	270
k__Bacteria|p__Acidobacteria	1118
k__Bacteria|p__Bacteroidetes	703
k__Bacteria|p__Planctomycetes	19
k__Eukaryota	283
k__Eukaryota|k__Metazoa	143
k__Eukaryota|k__Metazoa|p__Chordata	143
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Basidiomycota	1
k__Eukaryota|k__Viridiplantae	135
k__Eukaryota|k__Viridiplantae|p__Streptophyta	135
