#Classification	S-6-DICUND-B_bracken_C.kreport
k__Bacteria	11036
k__Bacteria|p__Actinobacteria	6932
k__Bacteria|p__Actinobacteria|c__Actinomycetia	6932
k__Bacteria|p__Firmicutes	13
k__Bacteria|p__Firmicutes|c__Bacilli	13
k__Bacteria|p__Proteobacteria	3708
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	854
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2562
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	290
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1
k__Bacteria|p__Acidobacteria	352
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	352
k__Bacteria|p__Planctomycetes	15
k__Bacteria|p__Planctomycetes|c__Planctomycetia	15
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Bacteroidetes	13
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	11
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2
k__Eukaryota	580
k__Eukaryota|k__Viridiplantae	384
k__Eukaryota|k__Viridiplantae|p__Streptophyta	384
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	206
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	178
k__Eukaryota|k__Metazoa	185
k__Eukaryota|k__Metazoa|p__Chordata	185
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	185
k__Eukaryota|k__Fungi	10
k__Eukaryota|k__Fungi|p__Ascomycota	10
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
