#Classification	NS7_bracken_P.kreport
k__Bacteria	2294674
k__Bacteria|p__Firmicutes	1771150
k__Bacteria|p__Actinobacteria	444045
k__Bacteria|p__Bacteroidetes	64680
k__Bacteria|p__Proteobacteria	14743
k__Bacteria|p__Fusobacteria	32
k__Bacteria|p__Spirochaetes	10
k__Bacteria|p__Verrucomicrobia	5
k__Bacteria|p__Candidatus_Saccharibacteria	5
k__Eukaryota	18542
k__Eukaryota|k__Fungi	18488
k__Eukaryota|k__Fungi|p__Ascomycota	18488
k__Eukaryota|k__Metazoa	9
k__Eukaryota|k__Metazoa|p__Chordata	9
k__Eukaryota|k__Viridiplantae	44
k__Eukaryota|k__Viridiplantae|p__Streptophyta	44
k__Viruses	111
k__Viruses|k__Heunggongvirae	111
k__Viruses|k__Heunggongvirae|p__Uroviricota	111
