#Classification	NS6_bracken_P.kreport
k__Bacteria	5102721
k__Bacteria|p__Bacteroidetes	2947540
k__Bacteria|p__Firmicutes	2136336
k__Bacteria|p__Actinobacteria	12414
k__Bacteria|p__Proteobacteria	6321
k__Bacteria|p__Verrucomicrobia	67
k__Bacteria|p__Spirochaetes	39
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Eukaryota	1
k__Eukaryota|k__Viridiplantae	1
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1
k__Viruses	5339
k__Viruses|k__Heunggongvirae	5339
k__Viruses|k__Heunggongvirae|p__Uroviricota	5339
