#Classification	GQ47_bracken_P.kreport
k__Bacteria	2805379
k__Bacteria|p__Bacteroidetes	1888698
k__Bacteria|p__Firmicutes	747175
k__Bacteria|p__Actinobacteria	54505
k__Bacteria|p__Proteobacteria	114945
k__Bacteria|p__Verrucomicrobia	36
k__Bacteria|p__Spirochaetes	17
k__Archaea	33286
k__Archaea|p__Euryarchaeota	33286
k__Eukaryota	99
k__Eukaryota|k__Viridiplantae	99
k__Eukaryota|k__Viridiplantae|p__Streptophyta	99
k__Viruses	29
k__Viruses|k__Heunggongvirae	29
k__Viruses|k__Heunggongvirae|p__Uroviricota	29
