#Classification	NS28_bracken_P.kreport
k__Bacteria	8639704
k__Bacteria|p__Bacteroidetes	3848331
k__Bacteria|p__Firmicutes	3440485
k__Bacteria|p__Actinobacteria	271317
k__Bacteria|p__Verrucomicrobia	945281
k__Bacteria|p__Proteobacteria	132974
k__Bacteria|p__Fusobacteria	833
k__Bacteria|p__Spirochaetes	441
k__Bacteria|p__Candidatus_Saccharibacteria	31
k__Bacteria|p__Synergistetes	7
k__Archaea	3553
k__Archaea|p__Euryarchaeota	3553
k__Eukaryota	381
k__Eukaryota|k__Viridiplantae	348
k__Eukaryota|k__Viridiplantae|p__Streptophyta	348
k__Eukaryota|k__Fungi	33
k__Eukaryota|k__Fungi|p__Ascomycota	33
k__Viruses	27712
k__Viruses|k__Heunggongvirae	27712
k__Viruses|k__Heunggongvirae|p__Uroviricota	27712
