#Classification	SRR5091518_bracken_P.kreport
k__Bacteria	11779577
k__Bacteria|p__Bacteroidetes	10312874
k__Bacteria|p__Firmicutes	1401963
k__Bacteria|p__Actinobacteria	16009
k__Bacteria|p__Verrucomicrobia	8428
k__Bacteria|p__Proteobacteria	39992
k__Bacteria|p__Synergistetes	236
k__Bacteria|p__Spirochaetes	54
k__Bacteria|p__Candidatus_Saccharibacteria	14
k__Bacteria|p__Fusobacteria	4
k__Eukaryota	72
k__Eukaryota|k__Viridiplantae	72
k__Eukaryota|k__Viridiplantae|p__Streptophyta	72
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
k__Viruses	96
k__Viruses|k__Heunggongvirae	67
k__Viruses|k__Heunggongvirae|p__Uroviricota	67
k__Viruses|k__Sangervirae	29
k__Viruses|k__Sangervirae|p__Phixviricota	29
