feature	Acidaminococcaceae	Actinobacteria.fam...Actinomycetaceae.Streptomycetaceae.	Actinobacteria.fam...Sanguibacteraceae.Actinomycetaceae.Promicromonosporaceae.	Actinomycetaceae	Akkermansiaceae	Atopobiaceae	Bacillales.fam..incertae.sedis	Bacteria.fam..incertae.sedis	Bacteroidaceae	Bacteroidales.fam..incertae.sedis	Barnesiellaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridia.fam..incertae.sedis	Clostridiaceae	Clostridiales.Family.XIII..Incertae.Sedis	Clostridiales.fam...Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Eubacteriaceae.Clostridiaceae.	Clostridiales.fam...Eubacteriaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.Ruminococcaceae.	Clostridiales.fam...Lachnospiraceae.Clostridiaceae.	Clostridiales.fam...Lachnospiraceae.Ruminococcaceae.	Clostridiales.fam..incertae.sedis	Coriobacteriaceae	Coriobacteriia.fam..incertae.sedis	Corynebacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes.fam...Carnobacteriaceae.Acidaminococcaceae.	Firmicutes.fam...Erysipelotrichaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Eubacteriaceae.Clostridiaceae.	Firmicutes.fam...Erysipelotrichaceae.Lachnospiraceae.	Firmicutes.fam...Erysipelotrichaceae.Peptostreptococcaceae.	Firmicutes.fam...Lachnospiraceae.Lactobacillaceae.	Firmicutes.fam..incertae.sedis	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Micrococcaceae	Odoribacteraceae	Oscillospiraceae	Pasteurellaceae	Peptoniphilaceae	Peptostreptococcaceae	Phyllobacteriaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Ruminococcaceae	Saccharibacteria.fam..incertae.sedis	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Tissierellaceae	Tissierellia.fam..incertae.sedis	Veillonellaceae
NS10	3	0	0	1	1	0	0	11	33	0	1	606	0	0	0	0	0	0	0	330	0	0	1	0	11	0	21	817	1055	2	0	1	101	1	18	793	2	0	2	0	1	0	6	2688	0	0	0	0	18	0	0	3	0	0	33	2	562	0	0	0	5	1	4	0	0	633
NS11	140	0	0	0	21	0	1	1	1511	21	0	276	0	0	0	0	1	2	0	83	14	0	0	3	10	0	16	538	90	2	0	63	8	5	46	70	0	0	0	0	0	3	172	435	23	0	0	28	228	1	0	1	0	0	2364	133	1246	0	0	0	9	27	307	0	0	359
NS13	0	0	0	3	0	0	0	9	998	0	0	0	0	0	0	0	0	0	0	98	13	1	0	0	73	0	0	196	0	0	0	0	30	0	29	657	0	0	0	0	7	0	543	4456	1	0	0	0	3	0	5	7	0	2	5	80	1176	0	0	0	35	0	0	0	6	2
NS21	0	0	0	2	0	0	1	7	1965	81	0	21	0	0	0	0	0	0	0	519	5	0	0	0	10	0	67	454	0	0	2	7	9	10	29	120	0	0	10	2	2	46	9	2943	0	0	0	0	41	3	0	30	0	0	4	0	2673	0	0	0	41	0	59	0	0	265
NS25	0	0	0	0	0	0	0	29	3730	0	0	74	0	0	0	0	0	0	0	1172	0	1	0	0	15	0	81	1601	0	0	0	43	3	1	55	141	373	0	0	0	5	0	23	2349	0	0	0	8	51	0	0	16	0	0	2	184	3998	0	0	0	3	7	108	0	0	0
NS27	0	0	0	0	59	9	0	0	1001	0	0	1889	0	0	0	0	0	0	0	567	1	3	0	7	47	0	47	1000	90	2	0	0	3	0	70	605	0	0	0	0	1	7	251	1840	3	0	0	0	36	6	0	43	0	0	19	73	1675	0	0	0	187	1	68	0	0	101
NS28	0	0	0	1	380	7	0	47	192	5	128	160	0	0	8	0	0	0	20	2770	3	4	45	4	7	5	8	1288	14	0	1	4	9	3	460	173	39	0	0	0	0	0	106	604	0	0	0	11	104	3	5	8	0	7	5113	116	1485	0	0	1	18	37	85	0	1	239
NS29	0	0	0	4	0	0	0	14	364	55	0	1898	0	0	0	0	0	0	0	390	13	3	46	0	0	0	146	491	160	0	0	4	56	0	287	123	0	0	178	0	10	0	516	2157	0	1	0	0	45	0	4	258	0	0	2	29	2793	0	0	0	56	1	0	0	0	175
NS30	0	1	1	2	0	1	2	12	146	0	0	770	0	0	0	0	0	0	0	354	0	0	0	0	11	0	66	505	187	0	0	0	9	92	32	305	0	0	12	1	4	33	19	6083	1	0	0	0	0	0	2	54	0	0	3	3	725	17	0	0	34	7	2	0	1	34
NS32	0	0	0	1	22	0	0	3	401	0	9	125	0	0	5	0	0	0	0	874	16	0	0	4	14	0	8	1068	24	1	0	24	6	3	303	1562	13	2	0	0	0	0	102	1313	74	0	0	13	222	0	3	8	0	1	1534	58	2064	0	0	0	12	8	24	0	1	803
