#Classification	S-3-DICUND-G_bracken_P.kreport
k__Bacteria	89673
k__Bacteria|p__Proteobacteria	77740
k__Bacteria|p__Cyanobacteria	8471
k__Bacteria|p__Actinobacteria	3206
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Acidobacteria	215
k__Bacteria|p__Planctomycetes	18
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Bacteroidetes	18
k__Eukaryota	744
k__Eukaryota|k__Viridiplantae	605
k__Eukaryota|k__Viridiplantae|p__Streptophyta	605
k__Eukaryota|k__Metazoa	137
k__Eukaryota|k__Metazoa|p__Chordata	137
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
