#Classification	S-9-POLCOM-G_bracken_O.kreport
k__Bacteria	1085437
k__Bacteria|p__Proteobacteria	812768
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	418986
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	206674
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	157644
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	41536
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	5988
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	6773
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	142
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	67
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	93
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	251032
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	244023
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	4811
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1052
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1145
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	140347
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	69128
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	43954
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	22068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	840
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1189
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	129
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	339
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	55
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	159
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	704
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	77
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	77
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	66
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1877
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1361
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	147
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	133
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	50
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	12
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	129
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	35
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	6
