#Classification	NS4_bracken_P.kreport
k__Bacteria	9757997
k__Bacteria|p__Bacteroidetes	4997012
k__Bacteria|p__Firmicutes	3792771
k__Bacteria|p__Actinobacteria	692456
k__Bacteria|p__Proteobacteria	275047
k__Bacteria|p__Spirochaetes	334
k__Bacteria|p__Verrucomicrobia	201
k__Bacteria|p__Fusobacteria	151
k__Bacteria|p__Candidatus_Saccharibacteria	22
k__Eukaryota	671
k__Eukaryota|k__Metazoa	645
k__Eukaryota|k__Metazoa|p__Chordata	645
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Eukaryota|k__Viridiplantae	24
k__Eukaryota|k__Viridiplantae|p__Streptophyta	24
k__Archaea	9
k__Archaea|p__Euryarchaeota	9
k__Viruses	3039
k__Viruses|k__Heunggongvirae	2980
k__Viruses|k__Heunggongvirae|p__Uroviricota	2980
k__Viruses|k__Sangervirae	59
k__Viruses|k__Sangervirae|p__Phixviricota	59
